target_id	length	eff_length	est_counts	tpm
NC_001604.1|T7p01|NP_041954.1|CDS|hypothetical	354	175	2283	530.057
NC_001604.1|T7p02|NP_041955.1|CDS|hypothetical	156	10.3458	0	0
NC_001604.1|T7p04|NP_041956.1|CDS|hypothetical	144	8.51793	0	0
NC_001604.1|T7p05|NP_041957.1|CDS|hypothetical	337	158	0	0
NC_001604.1|T7p06|NP_041958.1|CDS|hypothetical	162	11.5236	0	0
NC_001604.1|T7p03|NP_041959.1|CDS|protein	1080	901	4668	210.504
NC_001604.1|T7p07|NP_041960.1|CDS|T3/T7-like	2652	2473	26124	429.21
NC_001604.1|T7p09|NP_041961.1|CDS|hypothetical	129	6.9214	0	0
NC_001604.1|T7p08|NP_041962.1|CDS|host	258	79.0036	8384	4311.8
NC_001604.1|T7p10|NP_041963.1|CDS|ATP-dependent	1080	901	59683	2691.41
NC_001604.1|T7p11|NP_041964.1|CDS|hypothetical	156	10.3458	334	1311.71
NC_001604.1|T7p12|NP_041965.1|CDS|hypothetical	90	4.62459	0	0
NC_001604.1|T7p13|NP_041966.1|CDS|hypothetical	261	82.002	9969	4939.49
NC_001604.1|T7p14|NP_041967.1|CDS|hypothetical	591	412	53046	5231.3
NC_001604.1|T7p15|NP_041968.1|CDS|hypothetical	147	8.91948	11	50.1081
NC_001604.1|T7p16|NP_041969.1|CDS|inhibitor	195	23.5677	13672	23570.5
NC_001604.1|T7p17|NP_041970.1|CDS|single-stranded	699	520	98861	7724.6
NC_001604.1|T7p18|NP_041971.1|CDS|hypothetical	420	241	31300	5276.94
NC_001604.1|T7p19|NP_041972.1|CDS|endonuclease	450	271	74043	11101.2
NC_001604.1|T7p20|NP_041973.1|CDS|lysozyme	456	277	47650	6989.36
NC_001604.1|T7p21|NP_041974.1|CDS|putative	366	187	14231	3092.06
NC_001604.1|T7p22|NP_041975.1|CDS|DNA	1701	1522	83267.5	2222.88
NC_001604.1|T7p23|NP_041976.1|CDS|hypothetical	123	6.43085	0	0
NC_001604.1|T7p24|NP_041977.1|CDS|helicase	1512	1333	9.13511e-05	2.78444e-06
NC_001604.1|T7p25|NP_041978.1|CDS|hypothetical	339	160	18564.5	4714.3
NC_001604.1|T7p26|NP_041979.1|CDS|hypothetical	213	36.0583	20403	22990.2
NC_001604.1|T7p27|NP_041980.1|CDS|hypothetical	270	91.0003	11169	4986.85
NC_001604.1|T7p28|NP_041981.1|CDS|hypothetical	408	229	28703	5092.68
NC_001604.1|T7p29|NP_041982.1|CDS|DNA	2115	1936	256126	5375.3
NC_001604.1|T7p30|NP_041983.1|CDS|hypothetical	357	178	50763	11587.3
NC_001604.1|T7p31|NP_041984.1|CDS|hypothetical	509	330	31931.6	3931.53
NC_001604.1|T7p32|NP_041985.1|CDS|host	300	121	1455.74	488.825
NC_001604.1|T7p33|NP_041986.1|CDS|hypothetical	210	33.6633	10108.7	12200.9
NC_001604.1|T7p34|NP_041987.1|CDS|host	159	10.9088	77	286.792
NC_001604.1|T7p35|NP_041988.1|CDS|exonuclease	903	724	83504	4686.23
NC_001604.1|T7p36|NP_041989.1|CDS|hypothetical	114	5.81021	0	0
NC_001604.1|T7p37|NP_041990.1|CDS|hypothetical	255	76.0064	22946	12266.2
NC_001604.1|T7p38|NP_041991.1|CDS|hypothetical	267	88.0006	13355	6166.14
NC_001604.1|T7p39|NP_041992.1|CDS|hypothetical	402	223	53385	9726.78
NC_001604.1|T7p40|NP_041993.1|CDS|tail	300	121	28111	9439.42
NC_001604.1|T7p41|NP_041994.1|CDS|hypothetical	393	214	56943	10811.4
NC_001604.1|T7p42|NP_041995.1|CDS|head-tail	1611	1432	180628	5125.03
NC_001604.1|T7p43|NP_041996.1|CDS|capsid	924	745	135413	7385.14
NC_001604.1|T7p45|NP_041998.1|CDS|major	1038	859	207414	9810.69
NC_001604.1|T7p46|NP_041999.1|CDS|tail	591	412	39616	3906.86
NC_001604.1|T7p47|NP_042000.1|CDS|tail	2385	2206	136694	2517.67
NC_001604.1|T7p48|NP_042001.1|CDS|internal	417	238	14352	2450.14
NC_001604.1|T7p49|NP_042002.1|CDS|internal	591	412	33681	3321.56
NC_001604.1|T7p50|NP_042003.1|CDS|internal	2244	2065	128187	2522.19
NC_001604.1|T7p51|NP_042004.1|CDS|internal	3957	3778	181729	1954.42
NC_001604.1|T7p52|NP_042005.1|CDS|tail	1662	1483	90726	2485.68
NC_001604.1|T7p53|NP_042006.1|CDS|type	204	29.2345	5574	7746.87
NC_001604.1|T7p54|NP_042007.1|CDS|DNA	270	91.0003	3046	1360.01
NC_001604.1|T7p55|NP_042008.1|CDS|phage	432	253	10643	1709.22
NC_001604.1|T7p56|NP_042009.1|CDS|phage	252	73.0112	0	0
NC_001604.1|T7p57|NP_042010.1|CDS|DNA	1761	1582	56539.5	1452.11
NC_001604.1|T7p58|NP_042011.1|CDS|hypothetical	258	79.0036	1202.47	618.417
NC_001604.1|T7p59|NP_042012.1|CDS|hypothetical	174	14.6185	0	0
NC_001604.1|T7p60|NP_042013.1|CDS|hypothetical	150	9.35544	178	773.055
U00096.3|b0001|AAC73112.1|CDS|thrL	66	3.85692	0	0
U00096.3|b0002|AAC73113.1|CDS|thrA	2463	2284	46	0.818307
U00096.3|b0003|AAC73114.1|CDS|thrB	933	754	19	1.02385
U00096.3|b0004|AAC73115.1|CDS|thrC	1287	1108	13	0.476714
U00096.3|b0005|AAC73116.1|CDS|yaaX	297	118	2	0.688656
U00096.3|b0006|AAC73117.1|CDS|yaaA	777	598	11	0.747388
U00096.3|b0007|AAC73118.1|CDS|yaaJ	1431	1252	9	0.292074
U00096.3|b0008|AAC73119.1|CDS|talB	954	775	286	14.994
U00096.3|b0009|AAC73120.1|CDS|mog	588	409	17	1.68881
U00096.3|b0010|AAC73121.1|CDS|satP	567	388	29	3.03683
U00096.3|b0011|AAC73122.1|CDS|yaaW	714	535	6	0.455672
U00096.3|b0013|AAC73124.1|CDS|yaaI	405	226	3	0.539346
U00096.3|b0014|AAC73125.1|CDS|dnaK	1917	1738	1043	24.3831
U00096.3|b0015|AAC73126.1|CDS|dnaJ	1131	952	152	6.48726
U00096.3|b0016|AAC73127.1|CDS|insL1	1113	934	28.6667	1.24705
U00096.3|b0018|AAC73129.1|CDS|mokC	210	33.6633	0	0
U00096.3|b4412|AAT48122.1|CDS|hokC	153	9.8295	1	4.13355
U00096.3|b0019|AAC73130.1|CDS|nhaA	1167	988	37	1.5216
U00096.3|b0020|AAC73131.1|CDS|nhaR	906	727	19	1.06188
U00096.3|b0021|AAC73132.1|CDS|insB1	504	325	0	0
U00096.3|b0022|AAC73133.1|CDS|insA	276	97.0001	0	0
U00096.3|b0023|AAC73134.1|CDS|rpsT	264	85.0011	248	118.545
U00096.3|b0024|AAC73135.1|CDS|yaaY	219	41.1625	0	0
U00096.3|b0025|AAC73136.1|CDS|ribF	942	763	80	4.2601
U00096.3|b0026|AAC73137.1|CDS|ileS	2817	2638	410	6.31486
U00096.3|b0027|AAC73138.1|CDS|lspA	495	316	39	5.01455
U00096.3|b0028|AAC73139.1|CDS|fkpB	450	271	20	2.99858
U00096.3|b0029|AAC73140.1|CDS|ispH	951	772	40	2.10522
U00096.3|b0030|AAC73141.1|CDS|rihC	915	736	13	0.717662
U00096.3|b0031|AAC73142.1|CDS|dapB	822	643	26	1.64292
U00096.3|b0032|AAC73143.1|CDS|carA	1149	970	9	0.376986
U00096.3|b0033|AAC73144.1|CDS|carB	3222	3043	29	0.387214
U00096.3|b0034|AAC73145.2|CDS|caiF	396	217	0	0
U00096.3|b0035|AAC73146.2|CDS|caiE	591	412	2	0.197237
U00096.3|b0036|AAC73147.2|CDS|caiD	786	607	4	0.267748
U00096.3|b0037|AAC73148.2|CDS|caiC	1554	1375	7	0.206847
U00096.3|b0038|AAC73149.1|CDS|caiB	1218	1039	1	0.0391056
U00096.3|b0039|AAC73150.1|CDS|caiA	1143	964	17	0.716517
U00096.3|b0040|AAC73151.1|CDS|caiT	1515	1336	2	0.0608244
U00096.3|b0041|AAC73152.2|CDS|fixA	771	592	3	0.205899
U00096.3|b0042|AAC73153.1|CDS|fixB	942	763	1	0.0532513
U00096.3|b0043|AAC73154.1|CDS|fixC	1287	1108	1	0.0366703
U00096.3|b0044|AAC73155.1|CDS|fixX	288	109	0	0
U00096.3|b0045|AAC73156.1|CDS|yaaU	1332	1153	6	0.211435
U00096.3|b0046|AAC73157.1|CDS|kefF	531	352	5	0.577141
U00096.3|b0047|AAC73158.1|CDS|kefC	1863	1684	10	0.241275
U00096.3|b0048|AAC73159.1|CDS|folA	480	301	21	2.8347
U00096.3|b0049|AAC73160.1|CDS|apaH	843	664	16	0.979054
U00096.3|b0050|AAC73161.1|CDS|apaG	378	199	14	2.85844
U00096.3|b0051|AAC73162.1|CDS|rsmA	822	643	48	3.03309
U00096.3|b0052|AAC73163.1|CDS|pdxA	990	811	42	2.10418
U00096.3|b0053|AAC73164.1|CDS|surA	1287	1108	80	2.93363
U00096.3|b0054|AAC73165.1|CDS|lptD	2355	2176	110	2.05394
U00096.3|b0055|AAC73166.1|CDS|djlA	816	637	15	0.956767
U00096.3|b4659|NA|CDS|yabP	806	627	14	0.907225
U00096.3|b0058|AAC73169.1|CDS|rluA	660	481	40	3.37885
U00096.3|b0059|AAC73170.1|CDS|rapA	2907	2728	205	3.05326
U00096.3|b0060|AAC73171.1|CDS|polB	2352	2173	24	0.448752
U00096.3|b0061|AAC73172.1|CDS|araD	696	517	1	0.0785894
U00096.3|b0062|AAC73173.1|CDS|araA	1503	1324	3	0.0920636
U00096.3|b0063|AAC73174.1|CDS|araB	1701	1522	7	0.186869
U00096.3|b0064|AAC73175.1|CDS|araC	879	700	12	0.696527
U00096.3|b0065|AAC73176.1|CDS|yabI	765	586	19	1.31738
U00096.3|b0066|AAC73177.1|CDS|thiQ	699	520	10	0.78136
U00096.3|b0067|AAC73178.1|CDS|thiP	1611	1432	17	0.482348
U00096.3|b0068|AAC73179.1|CDS|thiB	984	805	14	0.706621
U00096.3|b0069|AAC73180.1|CDS|sgrR	1656	1477	22	0.605197
U00096.3|b4662|ACO59989.1|CDS|sgrT	132	7.19434	0	0
U00096.3|b0070|AAT48123.1|CDS|setA	1179	1000	14	0.56883
U00096.3|b0071|AAC73182.1|CDS|leuD	606	427	6	0.570924
U00096.3|b0072|AAC73183.1|CDS|leuC	1401	1222	12	0.398992
U00096.3|b0073|AAC73184.2|CDS|leuB	1092	913	4	0.17801
U00096.3|b0074|AAC73185.1|CDS|leuA	1572	1393	5	0.145839
U00096.3|b0075|AAC73186.1|CDS|leuL	87	4.51079	0	0
U00096.3|b0076|AAC73187.2|CDS|leuO	945	766	8	0.424342
U00096.3|b0077|AAC73188.2|CDS|ilvI	1725	1546	12	0.315374
U00096.3|b0078|AAC73189.1|CDS|ilvH	492	313	6	0.778864
U00096.3|b0080|AAC73191.1|CDS|cra	1005	826	17	0.836226
U00096.3|b0081|AAC73192.1|CDS|mraZ	459	280	44	6.38483
U00096.3|b0082|AAC73193.1|CDS|rsmH	942	763	50	2.66256
U00096.3|b0083|AAC73194.1|CDS|ftsL	366	187	12	2.60732
U00096.3|b0084|AAC73195.1|CDS|ftsI	1767	1588	71	1.81661
U00096.3|b0085|AAC73196.1|CDS|murE	1488	1309	53	1.64509
U00096.3|b0086|AAC73197.1|CDS|murF	1359	1180	34	1.17072
