target_id	length	eff_length	est_counts	tpm
NC_001604.1|T7p01|NP_041954.1|CDS|hypothetical	354	175	16350	1969.74
NC_001604.1|T7p02|NP_041955.1|CDS|hypothetical	156	10.3458	0	0
NC_001604.1|T7p04|NP_041956.1|CDS|hypothetical	144	8.51793	0	0
NC_001604.1|T7p05|NP_041957.1|CDS|hypothetical	337	158	0	0
NC_001604.1|T7p06|NP_041958.1|CDS|hypothetical	162	11.5236	0	0
NC_001604.1|T7p03|NP_041959.1|CDS|protein	1080	901	32094	750.98
NC_001604.1|T7p07|NP_041960.1|CDS|T3/T7-like	2652	2473	180055	1535.01
NC_001604.1|T7p09|NP_041961.1|CDS|hypothetical	129	6.9214	0	0
NC_001604.1|T7p08|NP_041962.1|CDS|host	258	79.0036	89118	23782
NC_001604.1|T7p10|NP_041963.1|CDS|ATP-dependent	1080	901	381435	8925.35
NC_001604.1|T7p11|NP_041964.1|CDS|hypothetical	156	10.3458	3980	8110.53
NC_001604.1|T7p12|NP_041965.1|CDS|hypothetical	90	4.62459	0	0
NC_001604.1|T7p13|NP_041966.1|CDS|hypothetical	261	82.002	26616	6843.02
NC_001604.1|T7p14|NP_041967.1|CDS|hypothetical	591	412	238266	12192.5
NC_001604.1|T7p15|NP_041968.1|CDS|hypothetical	147	8.91948	36	85.0927
NC_001604.1|T7p16|NP_041969.1|CDS|inhibitor	195	23.5677	39694	35508.9
NC_001604.1|T7p17|NP_041970.1|CDS|single-stranded	699	520	686096	27817.1
NC_001604.1|T7p18|NP_041971.1|CDS|hypothetical	420	241	272694	23855.5
NC_001604.1|T7p19|NP_041972.1|CDS|endonuclease	450	271	222430	17304.3
NC_001604.1|T7p20|NP_041973.1|CDS|lysozyme	456	277	444841	33857.5
NC_001604.1|T7p21|NP_041974.1|CDS|putative	366	187	52539	5923.38
NC_001604.1|T7p22|NP_041975.1|CDS|DNA	1701	1522	640215	8868.31
NC_001604.1|T7p23|NP_041976.1|CDS|hypothetical	123	6.43085	0	0
NC_001604.1|T7p24|NP_041977.1|CDS|helicase	1512	1333	0.000830893	1.31415e-05
NC_001604.1|T7p25|NP_041978.1|CDS|hypothetical	339	160	84713.9	11162.6
NC_001604.1|T7p26|NP_041979.1|CDS|hypothetical	213	36.0583	107170	62661
NC_001604.1|T7p27|NP_041980.1|CDS|hypothetical	270	91.0003	203488	47143.9
NC_001604.1|T7p28|NP_041981.1|CDS|hypothetical	408	229	115921	10672.3
NC_001604.1|T7p29|NP_041982.1|CDS|DNA	2115	1936	819672	8926.15
NC_001604.1|T7p30|NP_041983.1|CDS|hypothetical	357	178	97143	11505.9
NC_001604.1|T7p31|NP_041984.1|CDS|hypothetical	509	330	198970	12711.7
NC_001604.1|T7p32|NP_041985.1|CDS|host	300	121	0	0
NC_001604.1|T7p33|NP_041986.1|CDS|hypothetical	210	33.6633	43674.1	27352.5
NC_001604.1|T7p34|NP_041987.1|CDS|host	159	10.9088	520	1004.97
NC_001604.1|T7p35|NP_041988.1|CDS|exonuclease	903	724	511652	14899.3
NC_001604.1|T7p36|NP_041989.1|CDS|hypothetical	114	5.81021	0	0
NC_001604.1|T7p37|NP_041990.1|CDS|hypothetical	255	76.0064	73037	20259.2
NC_001604.1|T7p38|NP_041991.1|CDS|hypothetical	267	88.0006	86290	20673.1
NC_001604.1|T7p39|NP_041992.1|CDS|hypothetical	402	223	145109	13718.9
NC_001604.1|T7p40|NP_041993.1|CDS|tail	300	121	132646	23112
NC_001604.1|T7p41|NP_041994.1|CDS|hypothetical	393	214	146094	14392.9
NC_001604.1|T7p42|NP_041995.1|CDS|head-tail	1611	1432	555111	8172.72
NC_001604.1|T7p43|NP_041996.1|CDS|capsid	924	745	650971	18421.9
NC_001604.1|T7p45|NP_041998.1|CDS|major	1038	859	450944	11067.7
NC_001604.1|T7p46|NP_041999.1|CDS|tail	591	412	44082	2255.76
NC_001604.1|T7p47|NP_042000.1|CDS|tail	2385	2206	221623	2118.06
NC_001604.1|T7p48|NP_042001.1|CDS|internal	417	238	81869	7252.24
NC_001604.1|T7p49|NP_042002.1|CDS|internal	591	412	163262	8354.44
NC_001604.1|T7p50|NP_042003.1|CDS|internal	2244	2065	653124	6668.15
NC_001604.1|T7p51|NP_042004.1|CDS|internal	3957	3778	860923	4804.32
NC_001604.1|T7p52|NP_042005.1|CDS|tail	1662	1483	865979	12311.1
NC_001604.1|T7p53|NP_042006.1|CDS|type	204	29.2345	39886	28764.4
NC_001604.1|T7p54|NP_042007.1|CDS|DNA	270	91.0003	47972	11114.1
NC_001604.1|T7p55|NP_042008.1|CDS|phage	432	253	159524	13293.4
NC_001604.1|T7p56|NP_042009.1|CDS|phage	252	73.0112	0	0
NC_001604.1|T7p57|NP_042010.1|CDS|DNA	1761	1582	747523	9962.02
NC_001604.1|T7p58|NP_042011.1|CDS|hypothetical	258	79.0036	3497.42	933.319
NC_001604.1|T7p59|NP_042012.1|CDS|hypothetical	174	14.6185	0	0
NC_001604.1|T7p60|NP_042013.1|CDS|hypothetical	150	9.35544	3176	7157.24
U00096.3|b0001|AAC73112.1|CDS|thrL	66	3.85692	0	0
U00096.3|b0002|AAC73113.1|CDS|thrA	2463	2284	149	1.37537
U00096.3|b0003|AAC73114.1|CDS|thrB	933	754	53	1.48195
U00096.3|b0004|AAC73115.1|CDS|thrC	1287	1108	119	2.26431
U00096.3|b0005|AAC73116.1|CDS|yaaX	297	118	12	2.14402
U00096.3|b0006|AAC73117.1|CDS|yaaA	777	598	110	3.87812
U00096.3|b0007|AAC73118.1|CDS|yaaJ	1431	1252	52	0.875646
U00096.3|b0008|AAC73119.1|CDS|talB	954	775	2127	57.8623
U00096.3|b0009|AAC73120.1|CDS|mog	588	409	132	6.80425
U00096.3|b0010|AAC73121.1|CDS|satP	567	388	144	7.82457
U00096.3|b0011|AAC73122.1|CDS|yaaW	714	535	27	1.06399
U00096.3|b0013|AAC73124.1|CDS|yaaI	405	226	11	1.02616
U00096.3|b0014|AAC73125.1|CDS|dnaK	1917	1738	10201	123.744
U00096.3|b0015|AAC73126.1|CDS|dnaJ	1131	952	304	6.73234
U00096.3|b0016|AAC73127.1|CDS|insL1	1113	934	91.3333	2.06164
U00096.3|b0018|AAC73129.1|CDS|mokC	210	33.6633	30	18.7886
U00096.3|b4412|AAT48122.1|CDS|hokC	153	9.8295	0	0
U00096.3|b0019|AAC73130.1|CDS|nhaA	1167	988	229	4.88661
U00096.3|b0020|AAC73131.1|CDS|nhaR	906	727	97	2.81298
U00096.3|b0021|AAC73132.1|CDS|insB1	504	325	0	0
U00096.3|b0022|AAC73133.1|CDS|insA	276	97.0001	0	0
U00096.3|b0023|AAC73134.1|CDS|rpsT	264	85.0011	1015	251.751
U00096.3|b0024|AAC73135.1|CDS|yaaY	219	41.1625	4	2.04874
U00096.3|b0025|AAC73136.1|CDS|ribF	942	763	450	12.4342
U00096.3|b0026|AAC73137.1|CDS|ileS	2817	2638	956	7.64034
U00096.3|b0027|AAC73138.1|CDS|lspA	495	316	266	17.747
U00096.3|b0028|AAC73139.1|CDS|fkpB	450	271	30	2.3339
U00096.3|b0029|AAC73140.1|CDS|ispH	951	772	65	1.77511
U00096.3|b0030|AAC73141.1|CDS|rihC	915	736	57	1.63278
U00096.3|b0031|AAC73142.1|CDS|dapB	822	643	95	3.11489
U00096.3|b0032|AAC73143.1|CDS|carA	1149	970	18	0.391228
U00096.3|b0033|AAC73144.1|CDS|carB	3222	3043	93	0.644333
U00096.3|b0034|AAC73145.2|CDS|caiF	396	217	24	2.33175
U00096.3|b0035|AAC73146.2|CDS|caiE	591	412	16	0.818752
U00096.3|b0036|AAC73147.2|CDS|caiD	786	607	8	0.277863
U00096.3|b0037|AAC73148.2|CDS|caiC	1554	1375	36	0.551988
U00096.3|b0038|AAC73149.1|CDS|caiB	1218	1039	17	0.344955
U00096.3|b0039|AAC73150.1|CDS|caiA	1143	964	91	1.99019
U00096.3|b0040|AAC73151.1|CDS|caiT	1515	1336	5	0.0789029
U00096.3|b0041|AAC73152.2|CDS|fixA	771	592	13	0.462968
U00096.3|b0042|AAC73153.1|CDS|fixB	942	763	16	0.442105
U00096.3|b0043|AAC73154.1|CDS|fixC	1287	1108	8	0.152223
U00096.3|b0044|AAC73155.1|CDS|fixX	288	109	2	0.386842
U00096.3|b0045|AAC73156.1|CDS|yaaU	1332	1153	8	0.146282
U00096.3|b0046|AAC73157.1|CDS|kefF	531	352	6	0.359367
U00096.3|b0047|AAC73158.1|CDS|kefC	1863	1684	37	0.463222
U00096.3|b0048|AAC73159.1|CDS|folA	480	301	118	8.26504
U00096.3|b0049|AAC73160.1|CDS|apaH	843	664	27	0.857285
U00096.3|b0050|AAC73161.1|CDS|apaG	378	199	27	2.86049
U00096.3|b0051|AAC73162.1|CDS|rsmA	822	643	88	2.88537
U00096.3|b0052|AAC73163.1|CDS|pdxA	990	811	65	1.68975
U00096.3|b0053|AAC73164.1|CDS|surA	1287	1108	503	9.57101
U00096.3|b0054|AAC73165.1|CDS|lptD	2355	2176	284	2.75162
U00096.3|b0055|AAC73166.1|CDS|djlA	816	637	80	2.64777
U00096.3|b4659|NA|CDS|yabP	806	627	44	1.4795
U00096.3|b0058|AAC73169.1|CDS|rluA	660	481	99	4.3393
U00096.3|b0059|AAC73170.1|CDS|rapA	2907	2728	191	1.47611
U00096.3|b0060|AAC73171.1|CDS|polB	2352	2173	80	0.776175
U00096.3|b0061|AAC73172.1|CDS|araD	696	517	9	0.367013
U00096.3|b0062|AAC73173.1|CDS|araA	1503	1324	36	0.57325
U00096.3|b0063|AAC73174.1|CDS|araB	1701	1522	25	0.346302
U00096.3|b0064|AAC73175.1|CDS|araC	879	700	32	0.963788
U00096.3|b0065|AAC73176.1|CDS|yabI	765	586	76	2.7343
U00096.3|b0066|AAC73177.1|CDS|thiQ	699	520	28	1.13523
U00096.3|b0067|AAC73178.1|CDS|thiP	1611	1432	37	0.544739
U00096.3|b0068|AAC73179.1|CDS|thiB	984	805	29	0.759507
U00096.3|b0069|AAC73180.1|CDS|sgrR	1656	1477	46	0.656609
U00096.3|b4662|ACO59989.1|CDS|sgrT	132	7.19434	0	0
U00096.3|b0070|AAT48123.1|CDS|setA	1179	1000	82	1.72879
U00096.3|b0071|AAC73182.1|CDS|leuD	606	427	46	2.27122
U00096.3|b0072|AAC73183.1|CDS|leuC	1401	1222	23	0.396813
U00096.3|b0073|AAC73184.2|CDS|leuB	1092	913	16	0.36947
U00096.3|b0074|AAC73185.1|CDS|leuA	1572	1393	36	0.544855
U00096.3|b0075|AAC73186.1|CDS|leuL	87	4.51079	0	0
U00096.3|b0076|AAC73187.2|CDS|leuO	945	766	46	1.26607
U00096.3|b0077|AAC73188.2|CDS|ilvI	1725	1546	25	0.340926
U00096.3|b0078|AAC73189.1|CDS|ilvH	492	313	27	1.81865
U00096.3|b0080|AAC73191.1|CDS|cra	1005	826	138	3.52232
U00096.3|b0081|AAC73192.1|CDS|mraZ	459	280	210	15.8121
U00096.3|b0082|AAC73193.1|CDS|rsmH	942	763	147	4.06184
U00096.3|b0083|AAC73194.1|CDS|ftsL	366	187	29	3.26953
U00096.3|b0084|AAC73195.1|CDS|ftsI	1767	1588	147	1.95163
U00096.3|b0085|AAC73196.1|CDS|murE	1488	1309	102	1.64282
U00096.3|b0086|AAC73197.1|CDS|murF	1359	1180	50	0.893342
U00096.3|b0087|AAC73198.1|CDS|mraY	1083	904	39	0.909548
U00096.3|b0088|AAC73199.1|CDS|murD	1317	1138	79	1.46357
U00096.3|b0089|AAC73200.1|CDS|ftsW	1245	1066	113	2.23486
U00096.3|b0090|AAC73201.1|CDS|murG	1068	889	96	2.27666
U00096.3|b0091|AAC73202.1|CDS|murC	1476	1297	68	1.10535
U00096.3|b0092|AAC73203.1|CDS|ddlB	921	742	292	8.29676
U00096.3|b0093|AAC73204.1|CDS|ftsQ	831	652	156	5.04437
U00096.3|b0094|AAC73205.1|CDS|ftsA	1263	1084	340	6.61271
U00096.3|b0095|AAC73206.1|CDS|ftsZ	1152	973	355	7.6921
U00096.3|b0096|AAC73207.1|CDS|lpxC	918	739	2209	63.0204
U00096.3|b0097|AAC73208.2|CDS|secM	513	334	215	13.5713
U00096.3|b0098|AAC73209.1|CDS|secA	2706	2527	598	4.98914
U00096.3|b0099|AAC73210.1|CDS|mutT	390	211	16	1.5987
U00096.3|b0101|AAC73212.1|CDS|yacG	198	25.324	8	6.6602
U00096.3|b0102|AAC73213.1|CDS|zapD	744	565	29	1.08213
U00096.3|b0103|AAC73214.1|CDS|coaE	621	442	119	5.67616
U00096.3|b0104|AAC73215.1|CDS|guaC	1044	865	318	7.75069
U00096.3|b0106|AAC73217.1|CDS|hofC	1203	1024	58	1.19415
U00096.3|b0107|AAC73218.1|CDS|hofB	1386	1207	69	1.20523
U00096.3|b0108|AAC73219.1|CDS|ppdD	441	262	4	0.321876
U00096.3|b0109|AAC73220.1|CDS|nadC	894	715	56	1.65125
U00096.3|b0110|AAC73221.1|CDS|ampD	552	373	19	1.07393
U00096.3|b0111|AAC73222.1|CDS|ampE	855	676	27	0.842067
U00096.3|b0112|AAC73223.1|CDS|aroP	1374	1195	510	8.99771
U00096.3|b0113|AAC73224.1|CDS|pdhR	765	586	407	14.6429
U00096.3|b0114|AAC73225.1|CDS|aceE	2664	2485	2761	23.4245
U00096.3|b0115|AAC73226.1|CDS|aceF	1893	1714	2116	26.0276
U00096.3|b0116|AAC73227.1|CDS|lpd	1425	1246	1936	32.758
U00096.3|b0117|AAC73228.1|CDS|yacH	1854	1675	62	0.780381
U00096.3|b0118|AAC73229.1|CDS|acnB	2598	2419	1213	10.5719
U00096.3|b0119|AAC73230.2|CDS|yacL	363	184	99	11.3435
U00096.3|b0120|AAC73231.1|CDS|speD	795	616	376	12.8688
U00096.3|b0121|AAC73232.1|CDS|speE	867	688	756	23.1666
U00096.3|b0122|AAC73233.2|CDS|yacC	348	169	64	7.98404
U00096.3|b0123|AAC73234.1|CDS|cueO	1551	1372	54	0.829792
U00096.3|b0124|AAC73235.1|CDS|gcd	2391	2212	95	0.905457
U00096.3|b0125|AAC73236.2|CDS|hpt	537	358	357	21.024
U00096.3|b0126|AAC73237.1|CDS|can	663	484	712	31.0145
U00096.3|b0127|AAC73238.1|CDS|yadG	927	748	37	1.04287
U00096.3|b0128|AAC73239.1|CDS|yadH	771	592	107	3.81059
U00096.3|b0129|AAC73240.1|CDS|yadI	441	262	16	1.2875
U00096.3|b0130|AAC73241.1|CDS|yadE	1230	1051	64	1.28383
U00096.3|b0131|AAC73242.1|CDS|panD	381	202	290	30.2675
U00096.3|b0132|AAC73243.1|CDS|yadD	903	724	114	3.31968
U00096.3|b0133|AAC73244.1|CDS|panC	852	673	112	3.50859
U00096.3|b0134|AAC73245.1|CDS|panB	795	616	131	4.48353
U00096.3|b0135|AAC73246.1|CDS|yadC	1239	1060	45	0.895027
U00096.3|b0136|AAC73247.1|CDS|yadK	597	418	17	0.857437
U00096.3|b0137|AAC73248.1|CDS|yadL	606	427	20	0.987488
U00096.3|b0138|AAC73249.2|CDS|yadM	570	391	16	0.862726
U00096.3|b0139|AAC73250.1|CDS|htrE	2598	2419	64	0.557794
U00096.3|b0140|AAC73251.1|CDS|yadV	741	562	13	0.487682
U00096.3|b0141|AAC73252.1|CDS|yadN	585	406	15	0.778924
U00096.3|b0142|AAC73253.1|CDS|folK	480	301	13	0.910556
U00096.3|b0143|AAC73254.2|CDS|pcnB	1398	1219	279	4.82536
U00096.3|b0144|AAC73255.3|CDS|gluQ	927	748	52	1.46565
U00096.3|b0145|AAC73256.1|CDS|dksA	456	277	2003	152.451
U00096.3|b0146|AAC73257.1|CDS|sfsA	705	526	228	9.13858
U00096.3|b0147|AAC73258.2|CDS|ligT	531	352	45	2.69525
U00096.3|b0148|AAC73259.2|CDS|hrpB	2430	2251	179	1.67651
U00096.3|b0149|AAC73260.1|CDS|mrcB	2535	2356	152	1.36018
U00096.3|b0150|AAC73261.1|CDS|fhuA	2244	2065	957	9.77061
U00096.3|b0151|AAC73262.1|CDS|fhuC	798	619	24	0.817429
U00096.3|b0152|AAC73263.1|CDS|fhuD	891	712	41	1.21404
U00096.3|b0153|AAC73264.1|CDS|fhuB	1983	1804	52	0.60771
U00096.3|b0154|AAC73265.1|CDS|hemL	1281	1102	282	5.39507
U00096.3|b0155|AAC73266.1|CDS|clcA	1422	1243	53	0.898947
U00096.3|b0156|AAC73267.1|CDS|erpA	345	166	416	52.8342
U00096.3|b0157|AAC73268.1|CDS|yadS	624	445	101	4.7851
U00096.3|b0158|AAC73269.1|CDS|btuF	801	622	30	1.01686
U00096.3|b0159|AAC73270.1|CDS|mtn	699	520	876	35.5165
U00096.3|b0160|AAC73271.1|CDS|dgt	1518	1339	102	1.60601
U00096.3|b0161|AAC73272.1|CDS|degP	1425	1246	562	9.50928
U00096.3|b0162|AAC73273.2|CDS|cdaR	1158	979	94	2.0243
U00096.3|b0163|AAC73274.1|CDS|yaeH	387	208	76	7.70335
U00096.3|b0164|AAC73275.2|CDS|yaeI	813	634	16	0.53206
U00096.3|b0166|AAC73277.1|CDS|dapD	825	646	770	25.1297
U00096.3|b0167|AAC73278.1|CDS|glnD	2673	2494	115	0.972145
U00096.3|b0168|AAC73279.1|CDS|map	795	616	781	26.7301
U00096.3|b0169|AAC73280.1|CDS|rpsB	726	547	14458	557.251
U00096.3|b0170|AAC73281.1|CDS|tsf	852	673	6146	192.534
U00096.3|b0171|AAC73282.1|CDS|pyrH	726	547	264	10.1753
U00096.3|b0172|AAC73283.1|CDS|frr	558	379	1011	56.2395
U00096.3|b0173|AAC73284.1|CDS|dxr	1197	1018	118	2.44379
U00096.3|b0174|AAC73285.1|CDS|ispU	762	583	241	8.71521
U00096.3|b0175|AAC73286.2|CDS|cdsA	858	679	152	4.71958
U00096.3|b0176|AAC73287.1|CDS|rseP	1353	1174	404	7.25509
U00096.3|b0177|AAC73288.1|CDS|bamA	2433	2254	788	7.37058
U00096.3|b0178|AAC73289.1|CDS|skp	486	307	1225	84.1254
U00096.3|b0179|AAC73290.1|CDS|lpxD	1026	847	2374	59.0918
U00096.3|b0180|AAC73291.1|CDS|fabZ	456	277	222	16.8967
U00096.3|b0181|AAC73292.1|CDS|lpxA	789	610	405	13.9976
U00096.3|b0182|AAC73293.1|CDS|lpxB	1149	970	88	1.91267
U00096.3|b0183|AAC73294.1|CDS|rnhB	597	418	32	1.614
U00096.3|b0184|AAC73295.1|CDS|dnaE	3483	3304	341	2.17593
U00096.3|b0185|AAC73296.1|CDS|accA	960	781	199	5.37195
U00096.3|b0186|AAC73297.1|CDS|ldcC	2142	1963	63	0.676628
U00096.3|b0187|AAC73298.2|CDS|yaeR	390	211	29	2.89764
U00096.3|b0188|AAC73299.1|CDS|tilS	1299	1120	69	1.29885
U00096.3|b0189|AAC73300.2|CDS|rof	255	76.0064	48	13.3144
U00096.3|b4406|AAT48124.1|CDS|yaeP	201	27.2129	76	58.88
U00096.3|b0190|AAC73301.1|CDS|yaeQ	546	367	40	2.29786
U00096.3|b0191|AAC73302.1|CDS|arfB	423	244	17	1.46889
U00096.3|b0192|AAC73303.1|CDS|nlpE	711	532	87	3.44776
U00096.3|b0193|AAC73304.2|CDS|yaeF	825	646	24	0.783264
U00096.3|b0194|AAC73305.1|CDS|proS	1719	1540	523	7.15996
U00096.3|b0195|AAC73306.1|CDS|tsaA	708	529	27	1.07606
U00096.3|b0196|AAC73307.1|CDS|rcsF	405	226	55	5.13079
U00096.3|b0197|AAC73308.1|CDS|metQ	816	637	181	5.99058
U00096.3|b0198|AAC73309.1|CDS|metI	654	475	53	2.3524
U00096.3|b0199|AAC73310.1|CDS|metN	1032	853	48	1.18637
U00096.3|b0200|AAC73311.1|CDS|gmhB	576	397	117	6.21334
U00096.3|b0201|NA|rRNA|rrsH	1542	1363	1.28853e+06	19931
U00096.3|b0202|NA|tRNA|ileV	77	4.17138	0	0
U00096.3|b0203|NA|tRNA|alaV	76	4.14046	0	0
U00096.3|b0204|NA|rRNA|rrlH	2904	2725	2.16581e+06	16756.5
U00096.3|b0205|NA|rRNA|rrfH	120	6.21	0	0
U00096.3|b0206|NA|tRNA|aspU	77	4.17138	0	0
U00096.3|b0207|AAC73312.1|CDS|dkgB	804	625	66	2.22635
U00096.3|b0208|AAC73313.1|CDS|yafC	915	736	71	2.03381
U00096.3|b0209|AAC73314.1|CDS|yafD	801	622	232	7.8637
U00096.3|b0210|AAC73315.1|CDS|yafE	624	445	57	2.7005
U00096.3|b0211|AAC73316.1|CDS|mltD	1359	1180	1193	21.3151
U00096.3|b0212|AAC73317.1|CDS|gloB	756	577	114	4.16542
U00096.3|b0213|AAC73318.2|CDS|yafS	723	544	72	2.79038
U00096.3|b0214|AAC73319.1|CDS|rnhA	468	289	53	3.86641
U00096.3|b0215|AAC73320.1|CDS|dnaQ	732	553	190	7.24366
U00096.3|b0216|NA|tRNA|aspV	77	4.17138	0	0
U00096.3|b0217|AAC73321.1|CDS|yafT	786	607	89	3.09123
U00096.3|b4586|ABP93434.1|CDS|ykfM	480	301	13	0.910556
U00096.3|b0218|NA|CDS|yafU	357	178	11	1.30287
U00096.3|b4503|NA|CDS|yafF	273	94.0001	7	1.57
U00096.3|b0219|AAC73323.1|CDS|yafV	771	592	76	2.70658
U00096.3|b0220|AAC73324.1|CDS|ivy	474	295	321	22.941
U00096.3|b0221|AAC73325.2|CDS|fadE	2445	2266	48	0.446592
U00096.3|b0222|AAC73326.1|CDS|gmhA	579	400	129	6.79922
U00096.3|b0223|AAC73327.1|CDS|yafJ	768	589	31	1.10962
U00096.3|b0224|AAC73328.1|CDS|yafK	741	562	100	3.7514
U00096.3|b0225|AAC73329.1|CDS|yafQ	279	100	14	2.9516
U00096.3|b0226|AAC73330.1|CDS|dinJ	261	82.002	36	9.25567
U00096.3|b0227|AAC73331.1|CDS|yafL	750	571	17	0.627686
U00096.3|b0228|AAC73332.1|CDS|rayT	498	319	9	0.594814
U00096.3|b0229|NA|CDS|lfhA	1713	1534	26	0.357337
U00096.3|b0230|NA|CDS|lafU	756	577	9	0.328849
U00096.3|b0231|AAC73335.1|CDS|dinB	1056	877	54	1.29815
U00096.3|b0232|AAC73336.1|CDS|yafN	294	115	9	1.64996
U00096.3|b0233|AAC73337.1|CDS|yafO	399	220	5	0.479156
U00096.3|b0234|AAC73338.1|CDS|yafP	453	274	16	1.23112
U00096.3|b0235|NA|CDS|ykfJ	207	31.3862	1	0.671723
U00096.3|b0236|NA|CDS|prfH	501	322	9	0.589273
U00096.3|b0237|AAC73341.1|CDS|pepD	1458	1279	462	7.61555
U00096.3|b0238|AAC73342.1|CDS|gpt	459	280	196	14.758
U00096.3|b0239|AAC73343.1|CDS|frsA	1245	1066	82	1.62176
U00096.3|b0240|NA|CDS|crl	1178	999	538.441	11.3632
U00096.3|b0241|AAC73345.1|CDS|phoE	1056	877	54	1.29815
U00096.3|b0242|AAC73346.1|CDS|proB	1104	925	112	2.55274
U00096.3|b0243|AAC73347.1|CDS|proA	1254	1075	142	2.7849
U00096.3|b0244|NA|tRNA|thrW	76	4.14046	0	0
U00096.3|b4626|NA|CDS|ykfN	63	3.78007	0	0
U00096.3|b0245|AAC73348.1|CDS|ykfI	342	163	45	5.82042
U00096.3|b0246|AAC73349.1|CDS|yafW	318	139	21	3.18518
U00096.3|b4504|ABD18634.1|CDS|ykfH	222	43.8484	4	1.92325
U00096.3|b0247|AAC73350.1|CDS|ykfG	477	298	27.9323	1.97615
U00096.3|b0248|AAC73351.1|CDS|yafX	459	280	50	3.7648
U00096.3|b0249|AAC73352.1|CDS|ykfF	240	61.0822	7	2.41609
U00096.3|b0250|AAC73353.1|CDS|ykfB	468	289	102	7.44101
U00096.3|b0251|AAC73354.2|CDS|yafY	444	265	12	0.954696
U00096.3|b4627|NA|CDS|ykfL	222	43.8484	5	2.40407
U00096.3|b4628|NA|CDS|ykfK	192	21.9418	0.12418	0.119318
U00096.3|b0252|AAC73355.2|CDS|yafZ	822	643	17	0.557401
U00096.3|b0253|AAC73356.2|CDS|ykfA	864	685	27	0.831003
U00096.3|b0254|AAC73357.1|CDS|perR	894	715	40	1.17946
U00096.3|b4587|NA|CDS|insN	1912	1733	89.4432	1.08812
U00096.3|b0256|AAC73359.1|CDS|insI1	1152	973	2.99558	0.064908
U00096.3|b0258|NA|CDS|ykfC	1108	929	17	0.385801
U00096.3|b0259|AAC73362.1|CDS|insH1	1017	838	41.2372	1.03747
U00096.3|b0260|AAC73363.2|CDS|mmuP	1404	1225	14	0.240947
