strain,time,Proteins,area_mean,area_sd,peps_per_tech_rep,org,org_area,ecoli_area,area_norm,b_rep
11-42,1min,YP_003043417.1,21448268.90625,8560304.89394731,2,ecoli,588953948991.002,588953948991.002,3.64175653172803e-05,5
11-42,1min,YP_003043418.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043420.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043422.1,400501661.567708,53016292.1329266,1,ecoli,588953948991.002,588953948991.002,0.000680022032713847,5
11-42,1min,YP_003043424.1,75377732.2638889,11875376.0805143,3,ecoli,588953948991.002,588953948991.002,0.000127985782917368,5
11-42,1min,YP_003043425.1,133971908.479167,20731414.4631164,2,ecoli,588953948991.002,588953948991.002,0.000227474335996368,5
11-42,1min,YP_003043427.1,33915205.6267361,4451437.30814771,3,ecoli,588953948991.002,588953948991.002,5.75854965992499e-05,5
11-42,1min,YP_003043428.1,39514359.7916667,3929030.14190961,1,ecoli,588953948991.002,588953948991.002,6.70924439157982e-05,5
11-42,1min,YP_003043429.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043430.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043437.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043444.1,76815674.5833333,21356224.745512,2,ecoli,588953948991.002,588953948991.002,0.000130427302024096,5
11-42,1min,YP_003043446.1,305398477.423611,208692165.019471,3,ecoli,588953948991.002,588953948991.002,0.000518543899649236,5
11-42,1min,YP_003043450.1,16073083.625,1081363.47177597,1,ecoli,588953948991.002,588953948991.002,2.72909005067993e-05,5
11-42,1min,YP_003043451.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043459.1,404842964.46875,30983873.5493311,1,ecoli,588953948991.002,588953948991.002,0.000687393242141136,5
11-42,1min,YP_003043460.1,161210766.895833,24458866.7504751,2,ecoli,588953948991.002,588953948991.002,0.000273723891608198,5
11-42,1min,YP_003043461.1,32210460.1458333,3689613.16984157,1,ecoli,588953948991.002,588953948991.002,5.46909655687281e-05,5
11-42,1min,YP_003043462.1,38653870.8333333,20638395.1721275,2,ecoli,588953948991.002,588953948991.002,6.56313976662442e-05,5
11-42,1min,YP_003043465.1; YP_003044151.1; YP_003044558.1,22737820.7291667,8886120.04451327,1,ecoli,588953948991.002,588953948991.002,3.86071283979354e-05,5
11-42,1min,YP_003043466.1,70313849.34375,12443571.6723215,1,ecoli,588953948991.002,588953948991.002,0.000119387686361917,5
11-42,1min,YP_003043467.1,49637307.0416667,4522480.95004209,1,ecoli,588953948991.002,588953948991.002,8.42804554188074e-05,5
11-42,1min,YP_003043471.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043473.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043477.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043483.1,43739943.7291667,38374579.5299343,1,ecoli,588953948991.002,588953948991.002,7.42671711499721e-05,5
11-42,1min,YP_003043486.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043487.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043491.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043495.1,61318430.0833333,4413360.39831382,1,ecoli,588953948991.002,588953948991.002,0.000104114133521618,5
11-42,1min,YP_003043498.1,10616801.8958333,2293457.32294645,1,ecoli,588953948991.002,588953948991.002,1.80265399595708e-05,5
11-42,1min,YP_003043503.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043515.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043516.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043523.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043525.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043528.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043534.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043535.1,35148509.6041667,1887703.07823833,1,ecoli,588953948991.002,588953948991.002,5.96795550218879e-05,5
11-42,1min,YP_003043536.1,21974749.375,10576066.2023167,2,ecoli,588953948991.002,588953948991.002,3.73114899945017e-05,5
11-42,1min,YP_003043537.1,231625438.552083,30601246.6863235,3,ecoli,588953948991.002,588953948991.002,0.000393282766757749,5
11-42,1min,YP_003043538.1,26634646.875,6732476.95275167,2,ecoli,588953948991.002,588953948991.002,4.52236493543011e-05,5
11-42,1min,YP_003043546.1,202383213.59375,131358534.811393,2,ecoli,588953948991.002,588953948991.002,0.000343631643765143,5
11-42,1min,YP_003043550.1,25310383.75,3748488.62738732,1,ecoli,588953948991.002,588953948991.002,4.29751490644759e-05,5
11-42,1min,YP_003043552.1,14856403.03125,587837.816613734,1,ecoli,588953948991.002,588953948991.002,2.5225067353232e-05,5
11-42,1min,YP_003043555.1,112978073.927083,20717848.7159529,2,ecoli,588953948991.002,588953948991.002,0.000191828366412413,5
11-42,1min,YP_003043556.1,43121863.7604167,6708034.4880162,1,ecoli,588953948991.002,588953948991.002,7.32177173347648e-05,5
11-42,1min,YP_003043560.1,54509956.6805556,13952242.3227951,3,ecoli,588953948991.002,588953948991.002,9.25538520863002e-05,5
11-42,1min,YP_003043561.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043562.1,103337934.161458,16261296.3281514,2,ecoli,588953948991.002,588953948991.002,0.000175460126107478,5
11-42,1min,YP_003043564.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043569.1,81167935.7222222,46068922.9859988,3,ecoli,588953948991.002,588953948991.002,0.000137817117724195,5
11-42,1min,YP_003043570.1,14112516.3854167,1488884.24738224,1,ecoli,588953948991.002,588953948991.002,2.39620031576226e-05,5
11-42,1min,YP_003043572.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043577.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043579.1,99431128.6805556,18725666.3937911,3,ecoli,588953948991.002,588953948991.002,0.00016882666098241,5
11-42,1min,YP_003043580.1,178407696.770833,31153577.139623,3,ecoli,588953948991.002,588953948991.002,0.000302922999457737,5
11-42,1min,YP_003043581.1,336937735.4375,159347997.438783,3,ecoli,588953948991.002,588953948991.002,0.000572095213920788,5
11-42,1min,YP_003043582.1,290243990.5,155236160.648597,2,ecoli,588953948991.002,588953948991.002,0.000492812708017744,5
11-42,1min,YP_003043583.1,56015029.4444444,48093763.1813295,3,ecoli,588953948991.002,588953948991.002,9.51093536946473e-05,5
11-42,1min,YP_003043584.1,7421510.125,844531.818723962,1,ecoli,588953948991.002,588953948991.002,1.26011721930289e-05,5
11-42,1min,YP_003043585.1,460830784.453125,90148860.454854,2,ecoli,588953948991.002,588953948991.002,0.000782456396196379,5
11-42,1min,YP_003043587.1,27868017.5572917,7544324.43847317,3,ecoli,588953948991.002,588953948991.002,4.7317821036832e-05,5
11-42,1min,YP_003043588.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043589.1,678667161.463542,239274079.665958,3,ecoli,588953948991.002,588953948991.002,0.00115232636206317,5
11-42,1min,YP_003043590.1,350750454.302083,148513652.127191,2,ecoli,588953948991.002,588953948991.002,0.000595548183186462,5
11-42,1min,YP_003043591.1,24391612.8177083,4873275.6011664,2,ecoli,588953948991.002,588953948991.002,4.14151443580541e-05,5
11-42,1min,YP_003043593.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043594.1,60881437.9305556,16424384.6123924,3,ecoli,588953948991.002,588953948991.002,0.00010337215334893,5
11-42,1min,YP_003043595.1,64092719.3645833,7071589.53194935,1,ecoli,588953948991.002,588953948991.002,0.000108824670374292,5
11-42,1min,YP_003043596.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043597.1,199251380.270833,63662156.1868896,2,ecoli,588953948991.002,588953948991.002,0.000338314023723233,5
11-42,1min,YP_003043598.1,10929307.6041667,1457281.58070057,1,ecoli,588953948991.002,588953948991.002,1.85571514086811e-05,5
11-42,1min,YP_003043600.1,432937916.104167,88518883.2329708,2,ecoli,588953948991.002,588953948991.002,0.000735096380363656,5
11-42,1min,YP_003043602.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043608.1,99091313.4166667,46789211.2178775,3,ecoli,588953948991.002,588953948991.002,0.000168249679939205,5
11-42,1min,YP_003043609.1,1022879948.11806,556367061.493227,3,ecoli,588953948991.002,588953948991.002,0.00173677407184459,5
11-42,1min,YP_003043610.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043611.1,342447410.234375,180157261.515317,3,ecoli,588953948991.002,588953948991.002,0.0005814502319257,5
11-42,1min,YP_003043612.1,27031212.8333333,24531776.0348285,1,ecoli,588953948991.002,588953948991.002,4.58969888556539e-05,5
11-42,1min,YP_003043613.1,4138363983.72396,457754401.328999,2,ecoli,588953948991.002,588953948991.002,0.00702663423993306,5
11-42,1min,YP_003043614.1,411180373.145833,66473023.8734205,3,ecoli,588953948991.002,588953948991.002,0.000698153690709213,5
11-42,1min,YP_003043615.1,461961794.817708,87651689.1769257,2,ecoli,588953948991.002,588953948991.002,0.000784376767672826,5
11-42,1min,YP_003043617.1,311908266.404948,61839404.1700358,2,ecoli,588953948991.002,588953948991.002,0.000529597037152583,5
11-42,1min,YP_003043618.1,711017548.340278,123134449.486826,3,ecoli,588953948991.002,588953948991.002,0.00120725491281347,5
11-42,1min,YP_003043619.1,271931170.03125,42301724.2057268,1,ecoli,588953948991.002,588953948991.002,0.000461718900938051,5
11-42,1min,YP_003043622.1,32083029.8767361,12013147.2046815,3,ecoli,588953948991.002,588953948991.002,5.44745984498464e-05,5
11-42,1min,YP_003043624.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043627.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043630.1,33036004.0520833,14215829.2613859,3,ecoli,588953948991.002,588953948991.002,5.60926777189978e-05,5
11-42,1min,YP_003043631.1,34893980.7083333,3802274.68217294,1,ecoli,588953948991.002,588953948991.002,5.92473838881866e-05,5
11-42,1min,YP_003043635.1,12302778.6354167,1981940.87308486,1,ecoli,588953948991.002,588953948991.002,2.0889203063319e-05,5
11-42,1min,YP_003043636.1,14968594.9895833,3983552.8593723,2,ecoli,588953948991.002,588953948991.002,2.54155609538362e-05,5
11-42,1min,YP_003043637.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043639.1,123011543.625,24565659.2135341,2,ecoli,588953948991.002,588953948991.002,0.000208864451687172,5
11-42,1min,YP_003043640.1,266050114.304688,31437465.7877226,2,ecoli,588953948991.002,588953948991.002,0.000451733305737207,5
11-42,1min,YP_003043641.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
11-42,1min,YP_003043642.1,26542681.0364583,9584757.33691686,2,ecoli,588953948991.002,588953948991.002,4.5067498200719e-05,5
11-42,1min,YP_003043646.1,353268964.90625,79148081.486498,2,ecoli,588953948991.002,588953948991.002,0.000599824426869829,5
11-42,1min,YP_003043647.1,12697536.0416667,2310275.67828061,1,ecoli,588953948991.002,588953948991.002,2.15594717777513e-05,5
11-42,1min,YP_003043648.1,277518945.814236,84500920.9449715,3,ecoli,588953948991.002,588953948991.002,0.000471206528608362,5
11-42,1min,YP_003043649.1,0,0,0,ecoli,588953948991.002,588953948991.002,0,5
