strain,time,protein_desc,area_mean,area_sd,peps_per_rep,org,org_area,ecoli_area,area_norm,b_rep
11-42,1min,NP_041959.1,0.0,0.0,0.0,phage,348703989.0104167,441650836148.62415,0.0,4.0
11-42,1min,NP_041963.1,15722293.7578125,2509979.303924766,2.0,phage,348703989.0104167,441650836148.62415,3.559892220496474e-5,4.0
11-42,1min,NP_041967.1,12203530.287760416,6555430.117013567,3.0,phage,348703989.0104167,441650836148.62415,2.763162500535534e-5,4.0
11-42,1min,NP_041969.1,0.0,0.0,0.0,phage,348703989.0104167,441650836148.62415,0.0,4.0
11-42,1min,NP_041970.1,61411958.875,989007.1854868878,1.0,phage,348703989.0104167,441650836148.62415,1.3905092858090655e-4,4.0
11-42,1min,NP_041973.1,0.0,0.0,0.0,phage,348703989.0104167,441650836148.62415,0.0,4.0
11-42,1min,NP_041974.1,0.0,0.0,0.0,phage,348703989.0104167,441650836148.62415,0.0,4.0
11-42,1min,NP_041981.1,16439101.625,1744875.6083623215,1.0,phage,348703989.0104167,441650836148.62415,3.7221941587059334e-5,4.0
11-42,1min,NP_041984.1; NP_041985.1,2306329.125,3261641.927871073,1.0,phage,348703989.0104167,441650836148.62415,5.222064436947823e-6,4.0
11-42,1min,NP_041988.1,8017350.546875,2012901.4064701754,1.0,phage,348703989.0104167,441650836148.62415,1.8153142461564376e-5,4.0
11-42,1min,NP_041993.1,33189730.75,3485492.666134947,1.0,phage,348703989.0104167,441650836148.62415,7.514925373951065e-5,4.0
11-42,1min,NP_041995.1,19424158.1796875,4262917.710982232,2.0,phage,348703989.0104167,441650836148.62415,4.398080245714941e-5,4.0
11-42,1min,NP_041996.1,31341108.17578125,687334.5674583899,1.0,phage,348703989.0104167,441650836148.62415,7.096354316701521e-5,4.0
11-42,1min,NP_041998.1,136402039.5,11833117.320639245,1.0,phage,348703989.0104167,441650836148.62415,3.0884587627973614e-4,4.0
11-42,1min,NP_042005.1,12246388.1875,2200770.2427753294,1.0,phage,348703989.0104167,441650836148.62415,2.772866523766492e-5,4.0
11-42,1min,NP_042008.1,0.0,0.0,0.0,phage,348703989.0104167,441650836148.62415,0.0,4.0
11-42,1min,YP_003043231.1,16730960.3359375,6780397.809233835,3.0,ecoli,441650836148.6242,441650836148.6242,3.7882777448896765e-5,4.0
11-42,1min,YP_003043233.1,28665420.61328125,18512303.614347544,2.0,ecoli,441650836148.6242,441650836148.6242,6.490516549964092e-5,4.0
11-42,1min,YP_003043235.1,39102763.119791664,18603092.09549213,3.0,ecoli,441650836148.6242,441650836148.6242,8.853773143686025e-5,4.0
11-42,1min,YP_003043237.1,1058637306.0494791,322523731.00359714,3.0,ecoli,441650836148.6242,441650836148.6242,0.0023970005701364205,4.0
11-42,1min,YP_003043238.1,42135043.239583336,13340916.396514123,3.0,ecoli,441650836148.6242,441650836148.6242,9.540351741891431e-5,4.0
11-42,1min,YP_003043239.1,0.0,0.0,0.0,ecoli,441650836148.6242,441650836148.6242,0.0,4.0
11-42,1min,YP_003043243.1,2686465338.375,386517455.5797739,2.0,ecoli,441650836148.6242,441650836148.6242,0.006082781053472186,4.0
11-42,1min,YP_003043244.1,185121465.9075521,81687472.41616575,3.0,ecoli,441650836148.6242,441650836148.6242,4.191579654232899e-4,4.0
11-42,1min,YP_003043245.1,0.0,0.0,0.0,ecoli,441650836148.6242,441650836148.6242,0.0,4.0
11-42,1min,YP_003043248.1,1753341.8125,2479599.770713324,1.0,ecoli,441650836148.6242,441650836148.6242,3.9699728133424525e-6,4.0
11-42,1min,YP_003043257.1,1923391165.53125,2002038291.960053,3.0,ecoli,441650836148.6242,441650836148.6242,0.004355004016983206,4.0
11-42,1min,YP_003043259.1,33931595.69140625,10592075.974779848,2.0,ecoli,441650836148.6242,441650836148.6242,7.68290081533721e-5,4.0
11-42,1min,YP_003043260.1,418615258.9947917,160542887.56203035,3.0,ecoli,441650836148.6242,441650836148.6242,9.478421067766742e-4,4.0
11-42,1min,YP_003043262.1,44155903.40625,40154501.845227875,3.0,ecoli,441650836148.6242,441650836148.6242,9.997921387697921e-5,4.0
11-42,1min,YP_003043263.1,73501366.3046875,55888967.22389005,2.0,ecoli,441650836148.6242,441650836148.6242,1.66424152947721e-4,4.0
11-42,1min,YP_003043264.1,57657662.4375,5121827.560361829,1.0,ecoli,441650836148.6242,441650836148.6242,1.3055033007589972e-4,4.0
11-42,1min,YP_003043265.1,36195799.59765625,10759507.262068752,2.0,ecoli,441650836148.6242,441650836148.6242,8.195569131782567e-5,4.0
11-42,1min,YP_003043266.1,24263967.91015625,5834466.05986593,2.0,ecoli,441650836148.6242,441650836148.6242,5.493925500458228e-5,4.0
11-42,1min,YP_003043267.1,21880037.713541668,3609634.6384391463,3.0,ecoli,441650836148.6242,441650836148.6242,4.954148373032539e-5,4.0
11-42,1min,YP_003043281.1,27630877.3203125,9102931.73171605,2.0,ecoli,441650836148.6242,441650836148.6242,6.256271936732882e-5,4.0
11-42,1min,YP_003043284.1,97543559.97265625,59483796.448931135,2.0,ecoli,441650836148.6242,441650836148.6242,2.2086125959428938e-4,4.0
11-42,1min,YP_003043286.1,261864403.4453125,69668050.2961097,2.0,ecoli,441650836148.6242,441650836148.6242,5.929217880099065e-4,4.0
11-42,1min,YP_003043287.1,118880550.56770833,33846574.68146372,3.0,ecoli,441650836148.6242,441650836148.6242,2.691731586073635e-4,4.0
11-42,1min,YP_003043288.1,12145292.453125,4450906.25502316,2.0,ecoli,441650836148.6242,441650836148.6242,2.7499761030765647e-5,4.0
11-42,1min,YP_003043289.1,19384430.25,433249.274580466,1.0,ecoli,441650836148.6242,441650836148.6242,4.3890849203502373e-05,4.0
