strain,time,protein_desc,area_mean,area_sd,peps_per_rep,org,org_area,ecoli_area,area_norm,b_rep
11-42,1min,NP_041959.1,0.0,0.0,0.0,phage,176838728.4978434,96177295402.03384,0.0,2.0
11-42,1min,NP_041960.1,0.0,0.0,1.0,phage,176838728.4978434,96177295402.03384,0.0,2.0
11-42,1min,NP_041963.1,7428552.09375,1969830.622817163,2.0,phage,176838728.4978434,96177295402.03384,7.723810554973153e-5,2.0
11-42,1min,NP_041966.1,4234488.216186523,5021855.269522583,3.0,phage,176838728.4978434,96177295402.03384,4.402794025851737e-5,2.0
11-42,1min,NP_041967.1,12494600.98828125,974819.6790194546,1.0,phage,176838728.4978434,96177295402.03384,1.2991216831428e-4,2.0
11-42,1min,NP_041970.1,7876672.58203125,1216168.7247585265,1.0,phage,176838728.4978434,96177295402.03384,8.189742235010575e-5,2.0
11-42,1min,NP_041975.1,0.0,0.0,0.0,phage,176838728.4978434,96177295402.03384,0.0,2.0
11-42,1min,NP_041979.1,0.0,0.0,0.0,phage,176838728.4978434,96177295402.03384,0.0,2.0
11-42,1min,NP_041981.1,9144963.1171875,2643945.380681669,3.0,phage,176838728.4978434,96177295402.03384,9.508442797190691e-5,2.0
11-42,1min,NP_041982.1,2898711.3125,421706.90542611503,1.0,phage,176838728.4978434,96177295402.03384,3.0139247525967565e-5,2.0
11-42,1min,NP_041984.1; NP_041985.1,993849.141031901,1113568.056060434,3.0,phage,176838728.4978434,96177295402.03384,1.0333511010862593e-5,2.0
11-42,1min,NP_041984.1; NP_041986.1,4393625.5078125,1548025.2011594267,1.0,phage,176838728.4978434,96177295402.03384,4.568256457458658e-5,2.0
11-42,1min,NP_041988.1,0.0,0.0,0.0,phage,176838728.4978434,96177295402.03384,0.0,2.0
11-42,1min,NP_041994.1,0.0,0.0,0.0,phage,176838728.4978434,96177295402.03384,0.0,2.0
11-42,1min,NP_041995.1,6488588.89453125,2190299.9876708398,2.0,phage,176838728.4978434,96177295402.03384,6.746487169771294e-5,2.0
11-42,1min,NP_041996.1,4056277.396484375,955532.0795344375,2.0,phage,176838728.4978434,96177295402.03384,4.217499961429148e-5,2.0
