strain,time,protein_desc,area_mean,area_sd,peps_per_rep,org,org_area,ecoli_area,area_norm,b_rep
11-42,1min,NP_041963.1,20207363.51953125,3842902.266892058,2.0,phage,455510992.4967448,290472027144.27686,6.9567330521277e-5,3.0
11-42,1min,NP_041967.1,26332335.796875,24027277.220733944,3.0,phage,455510992.4967448,290472027144.27686,9.06536028813397e-5,3.0
11-42,1min,NP_041970.1,21312616.0,7643386.605529024,1.0,phage,455510992.4967448,290472027144.27686,7.337235261354123e-5,3.0
11-42,1min,NP_041980.1,15106608.3515625,2937783.6400064947,2.0,phage,455510992.4967448,290472027144.27686,5.200710202658888e-5,3.0
11-42,1min,NP_041981.1,0.0,0.0,0.0,phage,455510992.4967448,290472027144.27686,0.0,3.0
11-42,1min,NP_041982.1,9962912.8125,411714.42594777734,1.0,phage,455510992.4967448,290472027144.27686,3.429904390604691e-5,3.0
11-42,1min,NP_041984.1; NP_041985.1,18440631.375,3078806.9184499253,1.0,phage,455510992.4967448,290472027144.27686,6.348505071657236e-5,3.0
11-42,1min,NP_041991.1,0.0,0.0,0.0,phage,455510992.4967448,290472027144.27686,0.0,3.0
11-42,1min,NP_041993.1,30013666.078125,1347451.2580351515,1.0,phage,455510992.4967448,290472027144.27686,1.033272166452616e-4,3.0
11-42,1min,NP_041994.1,5890243.0,1254053.1693275608,1.0,phage,455510992.4967448,290472027144.27686,2.027817638038629e-5,3.0
11-42,1min,NP_041995.1,17589943.078125,6513012.327732861,2.0,phage,455510992.4967448,290472027144.27686,6.055640968618335e-5,3.0
11-42,1min,NP_041996.1,22454581.37109375,4875827.843257844,2.0,phage,455510992.4967448,290472027144.27686,7.73037651571888e-5,3.0
11-42,1min,NP_041998.1,249295446.4140625,30312476.892755046,2.0,phage,455510992.4967448,290472027144.27686,8.582425263629188e-4,3.0
11-42,1min,NP_042002.1,0.0,0.0,0.0,phage,455510992.4967448,290472027144.27686,0.0,3.0
11-42,1min,NP_042003.1,7729385.361979167,1374018.68880673,3.0,phage,455510992.4967448,290472027144.27686,2.6609740834493495e-5,3.0
11-42,1min,NP_042004.1,7518419.1875,801293.1392755527,1.0,phage,455510992.4967448,290472027144.27686,2.588345343066586e-5,3.0
11-42,1min,NP_042005.1,3656840.150390625,4000822.5991208665,2.0,phage,455510992.4967448,290472027144.27686,1.2589302268938552e-5,3.0
11-42,1min,NP_042008.1,0.0,0.0,0.0,phage,455510992.4967448,290472027144.27686,0.0,3.0
11-42,1min,NP_042010.1,0.0,0.0,0.0,phage,455510992.4967448,290472027144.27686,0.0,3.0
11-42,1min,YP_003043231.1,0.0,0.0,1.0,ecoli,290472027144.2769,290472027144.2769,0.0,3.0
11-42,1min,YP_003043233.1,13950102.1796875,1579492.1600290092,1.0,ecoli,290472027144.2769,290472027144.2769,4.802563027096069e-5,3.0
11-42,1min,YP_003043235.1,19942482.638020832,8180028.166827938,3.0,ecoli,290472027144.2769,290472027144.2769,6.86554324493196e-5,3.0
11-42,1min,YP_003043237.1,455222579.859375,89404541.85463649,2.0,ecoli,290472027144.2769,290472027144.2769,0.0015671821632355215,3.0
