strain,time,protein_desc,area_mean,area_sd,peps_per_rep,org,org_area,ecoli_area,area_norm,b_rep
11-42,1m,YP_003044177.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044179.1,14831509032.916666,6608357940.375273,2.0,ecoli,390421754431.3482,390421754431.3482,0.03798842883260656,1.0
11-42,1m,YP_003044189.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044210.1; YP_003046587.1,123442695.41666667,59764683.64583464,1.0,ecoli,390421754431.3482,390421754431.3482,3.1617781031813085e-4,1.0
11-42,1m,YP_003044212.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044216.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044238.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044240.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044249.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044250.1,47160441.572916664,4385493.453907402,1.0,ecoli,390421754431.3482,390421754431.3482,1.2079358037209312e-4,1.0
11-42,1m,YP_003044261.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044263.1,132939698.47916667,59845956.08726717,2.0,ecoli,390421754431.3482,390421754431.3482,3.4050279465803383e-4,1.0
11-42,1m,YP_003044264.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044268.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044269.1,35133239.645833336,14164810.7999491,1.0,ecoli,390421754431.3482,390421754431.3482,8.99879149844125e-5,1.0
11-42,1m,YP_003044275.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044278.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044285.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044290.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044298.1,94258566.08333333,29608538.070543557,1.0,ecoli,390421754431.3482,390421754431.3482,2.414275460152612e-4,1.0
11-42,1m,YP_003044300.1,2143522.5625,363396.79983903805,1.0,ecoli,390421754431.3482,390421754431.3482,5.490274397291345e-6,1.0
11-42,1m,YP_003044301.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044302.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044303.1,2693605707.1979165,2585888492.8005834,2.0,ecoli,390421754431.3482,390421754431.3482,0.0068992203344846155,1.0
11-42,1m,YP_003044305.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044306.1,567291267.9166666,358368162.60344756,2.0,ecoli,390421754431.3482,390421754431.3482,0.001453021665616277,1.0
11-42,1m,YP_003044307.1,559302134.4375,234271765.37332982,2.0,ecoli,390421754431.3482,390421754431.3482,0.00143255883692272,1.0
11-42,1m,YP_003044308.1,228897740.0,69870221.17027627,1.0,ecoli,390421754431.3482,390421754431.3482,5.862832626562806e-4,1.0
11-42,1m,YP_003044309.1,350388582.078125,185087525.34112343,2.0,ecoli,390421754431.3482,390421754431.3482,8.974617272248782e-4,1.0
11-42,1m,YP_003044314.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044315.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044317.1,98890668.64583333,87046578.06834225,2.0,ecoli,390421754431.3482,390421754431.3482,2.5329190170222e-4,1.0
11-42,1m,YP_003044322.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044323.1,123535744.16666667,30296410.16522496,2.0,ecoli,390421754431.3482,390421754431.3482,3.1641613912267077e-4,1.0
11-42,1m,YP_003044326.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044328.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044338.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
