strain,time,protein_desc,area_mean,area_sd,peps_per_rep,org,org_area,ecoli_area,area_norm,b_rep
11-42,1m,YP_003043595.1,15541831.947916666,3080702.737465764,1.0,ecoli,390421754431.3482,390421754431.3482,3.9807802130681586e-5,1.0
11-42,1m,YP_003043596.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043597.1,20215592.916666668,6605009.041723345,1.0,ecoli,390421754431.3482,390421754431.3482,5.177885885511377e-5,1.0
11-42,1m,YP_003043600.1,154628081.6284722,146198408.08265093,3.0,ecoli,390421754431.3482,390421754431.3482,3.9605395927204157e-4,1.0
11-42,1m,YP_003043608.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043609.1,397469441.5729167,172744647.09088162,2.0,ecoli,390421754431.3482,390421754431.3482,0.0010180514714192438,1.0
11-42,1m,YP_003043611.1,23706122.864583332,4808227.164241305,1.0,ecoli,390421754431.3482,390421754431.3482,6.0719267293676944e-5,1.0
11-42,1m,YP_003043613.1,4312856434.75,1706685898.9916704,2.0,ecoli,390421754431.3482,390421754431.3482,0.011046660145851,1.0
11-42,1m,YP_003043614.1,291106235.75,269379427.2494221,2.0,ecoli,390421754431.3482,390421754431.3482,7.456199160162018e-4,1.0
11-42,1m,YP_003043615.1,245697702.66666666,76283773.80057028,1.0,ecoli,390421754431.3482,390421754431.3482,6.293135561170943e-4,1.0
11-42,1m,YP_003043617.1,156848266.82291666,59902108.892931834,2.0,ecoli,390421754431.3482,390421754431.3482,4.0174059217414044e-4,1.0
11-42,1m,YP_003043618.1,206609447.23958334,229567077.23051253,1.0,ecoli,390421754431.3482,390421754431.3482,5.291955299481488e-4,1.0
11-42,1m,YP_003043619.1,196922906.66666666,84338573.9105535,1.0,ecoli,390421754431.3482,390421754431.3482,5.043850769880539e-4,1.0
11-42,1m,YP_003043622.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043625.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003043637.1,56162331.833333336,8684141.268769186,1.0,ecoli,390421754431.3482,390421754431.3482,1.438504161099684e-4,1.0
11-42,1m,YP_003043639.1,20501789.5,17836670.75881409,1.0,ecoli,390421754431.3482,390421754431.3482,5.251190351793021e-5,1.0
11-42,1m,YP_003043640.1,306207807.03125,180228044.56415206,2.0,ecoli,390421754431.3482,390421754431.3482,7.843000641120617e-4,1.0
