condition,weight,time,class,cor,pval
wt,1,360,2,0.960322609784281,0.03967739021571905
wt,1,365,2,0.967045087770321,0.03295491222967896
wt,1,370,2,0.9424498426663942,0.057550157333605745
wt,1,375,2,0.6751890799864901,0.32481092001350986
wt,1,380,2,0.9800860870213703,0.01991391297862965
wt,1,385,2,0.9056380379080968,0.09436196209190319
wt,1,390,2,0.9478529955934072,0.05214700440659282
wt,1,395,2,0.9930853620046869,0.006914637995313084
wt,1,400,2,0.8726628638088196,0.1273371361911803
wt,1,405,2,0.7971641277856643,0.057541010197915576
wt,1,410,2,0.596124932070814,0.21173355065402524
wt,1,415,2,0.42635958995665146,0.39921297113458576
wt,1,420,2,0.41606142919860983,0.41191945259398605
wt,1,425,2,0.48502884108663674,0.3295089776921035
wt,1,430,2,-0.2207521706377591,0.6343036604803507
wt,1,435,2,-0.43941775880998113,0.32390419720804564
wt,1,440,2,-0.5061818405813601,0.24639579383306415
wt,1,440,3,0.6276618388631486,0.37233816113685125
wt,1,445,2,-0.7556844913949469,0.04942959754944647
wt,1,445,3,0.7338435187126249,0.26615648128737496
wt,1,450,2,-0.7878381491607233,0.03539058235564035
wt,1,450,3,0.7470389994960454,0.25296100050395454
wt,1,455,2,-0.8922800813117719,0.006897001706684393
wt,1,455,3,0.7493762779481774,0.25062372205182243
wt,1,460,2,-0.9395053846654421,0.0016731076423626562
wt,1,460,3,0.738735261831591,0.26126473816840895
wt,1,465,2,-0.9047273541550505,0.005109054524916503
wt,1,465,3,0.7533208723438432,0.2466791276561567
wt,1,470,2,-0.8916588251826465,0.006994458222244071
wt,1,470,3,0.7382632085306643,0.2617367914693356
wt,1,475,2,-0.8592478067576951,0.013213972926792075
wt,1,475,3,0.819476427457606,0.08953863633276729
wt,1,480,2,-0.8408892032128967,0.017768207787875346
wt,1,480,3,0.8363343200599307,0.07750153494410794
wt,1,485,2,-0.8239465419373292,0.02266343198658657
wt,1,485,3,0.6457470622593506,0.16601420414781562
wt,1,490,2,-0.8427150009324901,0.017280715315243587
wt,1,490,3,0.7124234866218114,0.11215905164436969
wt,1,495,2,-0.8789407044867924,0.009166136357473738
wt,1,495,3,0.4587102349751739,0.30054268282989016
wt,1,500,2,-0.8350912064910274,0.019367625287734076
wt,1,500,3,0.4956800875436159,0.2579539179832029
wt,1,505,2,-0.8027257891341242,0.029758986696252016
wt,1,505,3,0.44867650474712817,0.26481708509510693
wt,1,510,2,-0.816068730344045,0.02517102012856989
wt,1,510,3,0.45177689766715423,0.2611217258885884
wt,1,515,2,-0.763487875678244,0.045784663769346416
wt,1,515,3,0.49191655976125925,0.21564847152426592
wt,1,520,2,-0.7103336250927472,0.07366328915128846
wt,1,520,3,0.41270294237588395,0.2696240287495811
wt,1,525,2,-0.7161322295564337,0.07027335692161803
wt,1,525,3,0.40337313826255794,0.2816790868714443
wt,1,530,2,-0.6800470177352949,0.09276024301586575
wt,1,530,3,0.41994749081453914,0.2604539284348503
wt,1,535,2,-0.6485526194857933,0.11508756570371431
wt,1,535,3,0.4415244773517466,0.2341398842520315
wt,1,540,2,-0.6367519123001346,0.12409721895526166
wt,1,540,3,0.448403065122055,0.22606802231271778
wt,1,545,2,-0.6060468538296734,0.14916609405095083
wt,1,545,3,0.46942283827851994,0.20236032829133863
wt,1,550,2,-0.5730436710771445,0.17868971350998494
wt,1,550,3,0.4686501361175249,0.20320616274021358
wt,1,555,2,-0.5296008619211321,0.22150892617429574
wt,1,555,3,0.4664567267934771,0.2056178699618939
wt,1,560,2,-0.5309455199809303,0.22011775007508055
wt,1,560,3,0.461999033789621,0.2105679453088245
wt,1,565,2,-0.5083833774947186,0.24400378122193253
wt,1,565,3,0.24816089710111403,0.48936177187142593
wt,1,570,2,-0.4987429069829955,0.25455788004596375
wt,1,570,3,0.3047708777615634,0.3918642056382471
wt,1,575,2,-0.47451448343965075,0.2819797057516546
wt,1,575,3,0.30032441312939645,0.3991568659049075
wt,1,580,2,-0.4341004996973219,0.3304755142336147
wt,1,580,3,0.32211515607190644,0.3640448328221047
wt,1,585,2,-0.3775299884077249,0.4037658352269527
wt,1,585,3,0.34308320701517414,0.3317793633873874
wt,1,590,2,-0.323739385646388,0.47874520007932336
wt,1,590,3,0.36032215840749904,0.30640418658210183
wt,1,595,2,-0.29096376463719636,0.5266854142254169
wt,1,595,3,0.3597637407226555,0.30720959759589717
wt,1,600,2,-0.3135485200892894,0.49347873154183164
wt,1,600,3,0.37575561073011055,0.2845886260528254
wt,1,605,2,-0.2536436403630266,0.5831177783417989
wt,1,605,3,0.3814117430542825,0.27680980737607963
wt,1,610,2,-0.23419812300264126,0.6132261948572293
wt,1,610,3,0.3954973192941414,0.2579474230534332
wt,1,615,2,-0.22633656037067532,0.6255250164731609
wt,1,615,3,0.4039600073438758,0.24696675999354356
wt,1,620,2,-0.1602738531011048,0.7313918251076397
wt,1,620,3,0.44424881335307126,0.19835259405942793
wt,1,625,2,-0.1436289177734762,0.758675212269966
wt,1,625,3,0.44862417375054015,0.19343941775764872
wt,1,630,2,-0.12149970787783083,0.7952547678475748
wt,1,630,3,0.46773529064285924,0.1728219085880837
wt,1,635,2,-0.09813432166147833,0.8342030392467599
wt,1,635,3,0.4769872679404659,0.16333253510918336
wt,1,640,2,-0.07896049714998316,0.8663699826603108
wt,1,640,3,0.48136959323425316,0.15894943111457835
wt,1,645,2,-0.0708902298044027,0.8799551773874275
wt,1,645,3,0.49151387694879944,0.14907787087227306
wt,1,650,2,-0.025314371485569632,0.9570387564766736
wt,1,650,3,0.48312740601408355,0.15721143849226302
wt,1,655,2,0.0684996186129435,0.8839840680507962
wt,1,655,3,0.4908267498922564,0.14973444565875701
wt,1,660,2,0.08349097289672339,0.85875481718169
wt,1,660,3,0.5032005195783995,0.13817856924700953
wt,1,665,2,0.05815689774759885,0.9014366631346669
wt,1,665,3,0.49942338341182807,0.14164602651950253
wt,1,670,2,0.08352990008485216,0.8586894224408319
wt,1,670,3,0.5020745083406695,0.13920675742917074
wt,1,675,2,0.12959184134091956,0.7818407554902229
wt,1,675,3,0.5075833109248035,0.13422096584729268
wt,1,680,2,0.14999680125843365,0.7482124334127168
wt,1,680,3,0.5154931868174998,0.12725677468539287
wt,1,685,2,0.1645117410670799,0.7244800862254814
wt,1,685,3,0.5085400097020298,0.1333664647140583
wt,1,690,2,0.17855813471681023,0.7016794401147683
wt,1,690,3,0.5150907868484401,0.1276055418489799
wt,1,695,2,0.1913939386474804,0.6809978981445919
wt,1,695,3,0.5102885233353883,0.13181340784166415
wt,1,700,2,0.2082841383489933,0.6540255534882198
wt,1,700,3,0.520220259714457,0.12320390549467392
wt,1,705,2,0.2366785663261494,0.6093604942524173
wt,1,705,3,0.5252380422985635,0.11899058486237436
wt,1,710,2,0.26052768551209515,0.5725703781402159
wt,1,710,3,0.5291202380045886,0.11579326162012726
wt,1,715,2,0.28690027475357976,0.5327382494588035
wt,1,715,3,0.5363014013353529,0.11002180701188094
wt,1,720,2,0.3051983977202096,0.5056685755903547
wt,1,720,3,0.5396567701389076,0.10738835383346189
wt,1,725,2,0.3330675685150745,0.46540080424720653
wt,1,725,3,0.542251392017019,0.10537944467691865
wt,1,730,2,0.3584477334720282,0.42980758772107336
wt,1,730,3,0.5511279107891535,0.09868683063215837
wt,1,735,2,0.3846056572638563,0.39427289343585425
wt,1,735,3,0.5511487370207349,0.09867145447108705
wt,1,740,2,0.4114864963811967,0.35904546487899475
wt,1,740,3,0.5533175223480514,0.09707854204219857
wt,1,745,2,0.4374809215771379,0.32629127767012583
wt,1,745,3,0.5586056492714903,0.09326339182374288
wt,1,750,2,0.44851725850376,0.3127907566099675
wt,1,750,3,0.5636438879216044,0.08971880004529796
wt,1,755,2,0.46054314726329676,0.29836299701719426
wt,1,755,3,0.5629962586291596,0.09016952126206967
wt,1,760,2,0.4660681375640439,0.29183512010556933
wt,1,760,3,0.5640635362531373,0.08942751478818081
wt,1,765,2,0.4852700012720944,0.2696498044588326
wt,1,765,3,0.5684228722124993,0.08643740198151408
wt,1,770,2,0.5047705971548925,0.24793480692079822
wt,1,770,3,0.5711596372733713,0.08459344786962773
wt,1,775,2,0.5226019554136372,0.22881661412712942
wt,1,775,3,0.5754647756729979,0.08174431012908866
wt,1,780,2,0.5402620881697611,0.21059302120233128
wt,1,780,3,0.5813999493170712,0.0779189966954406
wt,1,785,2,0.5430874036366926,0.20774419954089554
wt,1,785,3,0.5809218030454687,0.07822279040764904
wt,1,790,2,0.5508419615137491,0.20002056145719993
wt,1,790,3,0.5851174571844814,0.07558307843157111
wt,1,795,2,0.5774005262024869,0.1746413755395064
wt,1,795,3,0.5910741353625987,0.07193572771543293
wt,1,800,2,0.5857745585837485,0.16698845080696822
wt,1,800,3,0.597383534756909,0.06819944686851975
wt,1,805,2,0.6078376390049657,0.1476400144570974
wt,1,805,3,0.6007398022881009,0.06626465001936838
wt,1,810,2,0.6220108627467641,0.13584066364614528
wt,1,810,3,0.6013807709484135,0.06589928260226842
wt,1,815,2,0.6349739151610151,0.1254849252228324
wt,1,815,3,0.6053402738995858,0.06367149616395044
wt,1,820,2,0.6484035718289217,0.11519918193830742
wt,1,820,3,0.6034127828402729,0.06474971349750472
wt,1,825,2,0.6514029154326207,0.11296383625222232
wt,1,825,3,0.6100968187911662,0.061061329233122116
wt,1,830,2,0.6556717833282967,0.10982139780138434
wt,1,830,3,0.6128346916650612,0.05959133951586265
wt,1,835,2,0.6666513949175057,0.10195021478820689
wt,1,835,3,0.6133194239410388,0.05933353599433027
wt,1,840,2,0.6922310585096508,0.08479709945088429
wt,1,840,3,0.6177862182863472,0.05699242198529254
wt,1,845,2,0.7045901090005537,0.07710541664811266
wt,1,845,3,0.6228142847730195,0.05443110576524076
wt,1,850,2,0.7119184697836319,0.07272826861388347
wt,1,850,3,0.6259464847171078,0.052874752234582795
wt,1,855,2,0.7212858534453284,0.06733233012315826
wt,1,855,3,0.6320694657328433,0.049918202224799715
wt,1,860,2,0.7279655937148237,0.06362094251965664
wt,1,860,3,0.636579872581357,0.04781213594582445
wt,1,865,2,0.7310257067799213,0.06195857490957452
wt,1,865,3,0.6410152730432234,0.04579973201579802
wt,1,870,2,0.7366990098967381,0.058939548865139434
wt,1,870,3,0.6477194840001327,0.0428667296140676
wt,1,875,2,0.7535308627934117,0.05046255242425783
wt,1,875,3,0.6502323059577951,0.04180070854974217
wt,1,880,2,0.7673437728264483,0.04404007249447282
wt,1,880,3,0.65018082667134,0.04182236715429069
wt,1,885,2,0.7647932953588904,0.045189853152099155
wt,1,885,3,0.6544493010122641,0.04005199852041415
wt,1,890,2,0.7656425106558854,0.044805206768256216
wt,1,890,3,0.6589165625936856,0.03825394933358901
wt,1,895,2,0.7695046050901175,0.04307870453225565
