condition,weight,time,cor,pval
wt,1,360,0.960322609784281,0.03967739021571905
wt,1,365,0.967045087770321,0.03295491222967896
wt,1,370,0.9424498426663942,0.057550157333605745
wt,1,375,0.6751890799864901,0.32481092001350986
wt,1,380,0.9800860870213703,0.01991391297862965
wt,1,385,0.9056380379080968,0.09436196209190319
wt,1,390,0.9478529955934072,0.05214700440659282
wt,1,395,0.9930853620046869,0.006914637995313084
wt,1,400,0.8726628638088196,0.1273371361911803
wt,1,405,0.7971641277856643,0.057541010197915576
wt,1,410,0.596124932070814,0.21173355065402524
wt,1,415,0.42635958995665146,0.39921297113458576
wt,1,420,0.41606142919860983,0.41191945259398605
wt,1,425,0.13704096131266674,0.7462471474431414
wt,1,430,0.13641932878838484,0.7263628042499526
wt,1,435,0.001205298993376215,0.9975445880260222
wt,1,440,0.193243772316283,0.569147657903198
wt,1,445,0.06365785453670805,0.8524897430579643
wt,1,450,-0.11599621387475596,0.7341333026282937
wt,1,455,-0.1448257573781696,0.6709374713867885
wt,1,460,-0.19283869984212645,0.5699733698236193
wt,1,465,-0.20710293329025206,0.5411850029608405
wt,1,470,-0.2197806486077991,0.5161140316546664
wt,1,475,0.4114916800302901,0.18384508468401617
wt,1,480,0.31598874502340996,0.3170289729932727
wt,1,485,0.26443033745555783,0.3826396220460446
wt,1,490,0.20785935052597704,0.49559613767268273
wt,1,495,0.03961066501942881,0.8930525648765627
wt,1,500,0.018551058851241753,0.9498104957669771
wt,1,505,-0.05020469487611833,0.8589712102989873
wt,1,510,-0.08235889221009703,0.7704412410426604
wt,1,515,-0.08531553753721201,0.7624149007205997
wt,1,520,-0.0595610105726549,0.8265630703506144
wt,1,525,-0.1023621821638126,0.7060037861318782
wt,1,530,-0.10528713671644623,0.6979660949898684
wt,1,535,-0.11324636121524025,0.6762482940293856
wt,1,540,-0.13650844264389417,0.6141831106330529
wt,1,545,-0.14351547019610247,0.5959361129220866
wt,1,550,-0.15621151597774718,0.5634493836984931
wt,1,555,-0.15719342846586365,0.560968862492775
wt,1,560,-0.15196986036790663,0.5742182555047586
wt,1,565,-0.14174353594749317,0.5873633475838471
wt,1,570,-0.15933030419403496,0.5413190018950275
wt,1,575,-0.17272707985171565,0.5073709043165351
wt,1,580,-0.1752610336335747,0.5010646801014469
wt,1,585,-0.1701084192638677,0.513926907499092
wt,1,590,-0.1569880599020479,0.5473567159829815
wt,1,595,-0.1632309907764357,0.5313307085986103
wt,1,600,-0.1564395153296921,0.548775024074924
wt,1,605,-0.1499391670419023,0.5657046359621288
wt,1,610,-0.14564031014782994,0.5770224238072938
wt,1,615,-0.14137780864692068,0.5883378121836648
wt,1,620,-0.12676552427515234,0.6278040726296419
wt,1,625,-0.12619988412929156,0.629352059181544
wt,1,630,-0.11767928757823738,0.6528439774466877
wt,1,635,-0.11274981278688055,0.6665788644714348
wt,1,640,-0.10942733852695653,0.6758933472701354
wt,1,645,-0.1098055636319625,0.6748307267517396
wt,1,650,-0.1032974714946997,0.693194637329575
wt,1,655,-0.08528428338166617,0.7448438660486951
wt,1,660,-0.0736489512757997,0.7787765873900167
wt,1,665,-0.06825392434204064,0.7946435267207889
wt,1,670,-0.05768177714492746,0.8259530013801543
wt,1,675,-0.044099919232090265,0.8665364748072609
wt,1,680,-0.030279591768387872,0.9081581730860874
wt,1,685,-0.02256283709509188,0.9315036234684533
wt,1,690,-0.006845095456141389,0.9791988089148416
wt,1,695,-0.001993734089878623,0.9939407861918567
wt,1,700,0.010565618537111684,0.9678972176967313
wt,1,705,0.019821889587222582,0.9398094649961493
wt,1,710,0.03314320907331205,0.8995119653766666
wt,1,715,0.04593337536520157,0.8610373180925489
wt,1,720,0.054057215786034035,0.8367469418663143
wt,1,725,0.06313397516366882,0.8097722867451217
wt,1,730,0.07568118936417732,0.7728207197818333
wt,1,735,0.08645752465096603,0.74144568079152
wt,1,740,0.09416773305744656,0.7192286033630193
wt,1,745,0.106216120732198,0.6849383831562972
wt,1,750,0.11856872963526548,0.6503767795625659
wt,1,755,0.12605202850620637,0.6297569364371491
wt,1,760,0.12973698780725867,0.6196962735419671
wt,1,765,0.13533460704455524,0.6045354476609567
wt,1,770,0.14458456569566377,0.5798164645458157
wt,1,775,0.15649344863723977,0.548635502972414
wt,1,780,0.1679788973328084,0.5192872463904051
wt,1,785,0.1768543130840199,0.4971186567084479
wt,1,790,0.1852741263318259,0.4765149071174768
wt,1,795,0.19387435616716614,0.45591177183738596
wt,1,800,0.20658051498916813,0.42631522713082215
wt,1,805,0.21690040721293982,0.40303818739478714
wt,1,810,0.22365311783979555,0.3881850467602752
wt,1,815,0.2351301075380616,0.36363943253311237
wt,1,820,0.24165667860389242,0.35007926946828294
wt,1,825,0.24964564678359494,0.3338785204845254
wt,1,830,0.25576915812883805,0.32175962432862737
wt,1,835,0.26213276001951913,0.3094423077436681
wt,1,840,0.26903286561523987,0.2964069297294591
wt,1,845,0.2778696612136197,0.2802018410443063
wt,1,850,0.28575501704282485,0.26620665150450823
wt,1,855,0.2917812016902284,0.25580734831354307
wt,1,860,0.3002251848701124,0.2416673250598453
wt,1,865,0.3103150259610732,0.22543065315902286
wt,1,870,0.31864808040440107,0.21256033063536872
wt,1,875,0.3262578736976541,0.20123090831827473
wt,1,880,0.3322376634242955,0.1926103715489431
wt,1,885,0.3406754703939184,0.18086552537711464
wt,1,890,0.3462410255924817,0.17338507797185154
wt,1,895,0.35365390997434204,0.16374739823272216
wt,1,900,0.3593179237243622,0.15663183923280918
wt,1,905,0.36628576826796777,0.14817015223731464
wt,1,910,0.37334417297266753,0.13992280351120273
wt,1,915,0.3763349388543901,0.13652561247915043
wt,1,920,0.37763041004583153,0.13507193915324697
wt,1,925,0.3854911479735244,0.12648048642169163
wt,1,930,0.3884039868620192,0.12339590486304816
