target_id	length	eff_length	est_counts	tpm
NC_001604.1|T7p01|NP_041954.1|CDS|hypothetical	354	175	41869	4201.47
NC_001604.1|T7p02|NP_041955.1|CDS|hypothetical	156	10.3458	0	0
NC_001604.1|T7p04|NP_041956.1|CDS|hypothetical	144	8.51793	0	0
NC_001604.1|T7p05|NP_041957.1|CDS|hypothetical	337	158	0	0
NC_001604.1|T7p06|NP_041958.1|CDS|hypothetical	162	11.5236	0	0
NC_001604.1|T7p03|NP_041959.1|CDS|protein	1080	901	75309	1467.81
NC_001604.1|T7p07|NP_041960.1|CDS|T3/T7-like	2652	2473	215638	1531.26
NC_001604.1|T7p09|NP_041961.1|CDS|hypothetical	129	6.9214	0	0
NC_001604.1|T7p08|NP_041962.1|CDS|host	258	79.0036	164929	36660.4
NC_001604.1|T7p10|NP_041963.1|CDS|ATP-dependent	1080	901	456609	8899.51
NC_001604.1|T7p11|NP_041964.1|CDS|hypothetical	156	10.3458	2375	4031.32
NC_001604.1|T7p12|NP_041965.1|CDS|hypothetical	90	4.62459	0	0
NC_001604.1|T7p13|NP_041966.1|CDS|hypothetical	261	82.002	24610	5270.28
NC_001604.1|T7p14|NP_041967.1|CDS|hypothetical	591	412	201696	8597
NC_001604.1|T7p15|NP_041968.1|CDS|hypothetical	147	8.91948	37	72.8465
NC_001604.1|T7p16|NP_041969.1|CDS|inhibitor	195	23.5677	39221	29224.6
NC_001604.1|T7p17|NP_041970.1|CDS|single-stranded	699	520	555617	18763.7
NC_001604.1|T7p18|NP_041971.1|CDS|hypothetical	420	241	193033	14065.7
NC_001604.1|T7p19|NP_041972.1|CDS|endonuclease	450	271	179249	11615.4
NC_001604.1|T7p20|NP_041973.1|CDS|lysozyme	456	277	287791	18245
NC_001604.1|T7p21|NP_041974.1|CDS|putative	366	187	86456	8118.96
NC_001604.1|T7p22|NP_041975.1|CDS|DNA	1701	1522	876840	10117
NC_001604.1|T7p23|NP_041976.1|CDS|hypothetical	123	6.43085	0	0
NC_001604.1|T7p24|NP_041977.1|CDS|helicase	1512	1333	4.78774e-05	6.30735e-07
NC_001604.1|T7p25|NP_041978.1|CDS|hypothetical	339	160	138758	15229.5
NC_001604.1|T7p26|NP_041979.1|CDS|hypothetical	213	36.0583	217332	105844
NC_001604.1|T7p27|NP_041980.1|CDS|hypothetical	270	91.0003	246895	47644.9
NC_001604.1|T7p28|NP_041981.1|CDS|hypothetical	408	229	127607	9785.56
NC_001604.1|T7p29|NP_041982.1|CDS|DNA	2115	1936	741571	6726.58
NC_001604.1|T7p30|NP_041983.1|CDS|hypothetical	357	178	102894	10151.2
NC_001604.1|T7p31|NP_041984.1|CDS|hypothetical	509	330	165502	8807.15
NC_001604.1|T7p32|NP_041985.1|CDS|host	300	121	0	0
NC_001604.1|T7p33|NP_041986.1|CDS|hypothetical	210	33.6633	40948.2	21361.1
NC_001604.1|T7p34|NP_041987.1|CDS|host	159	10.9088	391	629.427
NC_001604.1|T7p35|NP_041988.1|CDS|exonuclease	903	724	411819	9988.83
NC_001604.1|T7p36|NP_041989.1|CDS|hypothetical	114	5.81021	0	0
NC_001604.1|T7p37|NP_041990.1|CDS|hypothetical	255	76.0064	62859	14523.3
NC_001604.1|T7p38|NP_041991.1|CDS|hypothetical	267	88.0006	65921	13154.8
