"time","Ribosome","coli Pol","coli Pol-P","coli Pol-2.0","coli Pol-P-2.0","tabasco_id","sim_count"
0,10000,1800,0,0,0,"gp1",0
5,10000,1800,0,0,0,"gp1",0
10,10000,1794.32,0,0,0,"gp1",0
15,9999.88,1787.69,0,0,0,"gp1",0
16,10000,1792,0,0,0,"gp1",0
20,9996.4,1781.81,0,0,0,"gp1",0
25,9985.92,1775.14,0,0,0,"gp1",0
30,9965.22,1768.19,0,0,0,"gp1",0
35,9931.95,1759.87,0,0,0,"gp1",0
40,9888.37,1751.59,0,0,0,"gp1",0
45,9834.83,1743.19,0,0,0,"gp1",0
50,9772.85,1734.89,0,0,0,"gp1",0
55,9700.29,1726.26,0,0,0,"gp1",0
60,9618.48,1717.81,0,0,0,"gp1",0
65,9528.51,1709.23,0.2,0,0,"gp1",0
70,9425.58,1696.65,2.88,0,0,"gp1",0
75,9310.64,1678.99,11.38,0,0,"gp1",0
80,9184.05,1651.99,28.58,0,0,"gp1",0
85,9047.87,1616.93,54.2,0,0,"gp1",0
90,8901.43,1573.93,87.49,0,0,"gp1",0
95,8747.36,1520.43,131.15,0,0,"gp1",0
100,8580.24,1458.42,183.91,0,0,"gp1",0
105,8399.2,1387.18,245.53,0,0,"gp1",0
110,8210.11,1306.9,317.25,0,0,"gp1",0
115,8013.95,1218.01,397.05,0,0,"gp1",0
120,7808.99,1119.02,486.94,0,0,"gp1",0
125,7589.09,1012.07,586.05,0,0,"gp1",0.04
130,7366.61,896.2,694.11,0,0,"gp1",0.8
135,7133.24,771.67,810.74,0,0,"gp1",3.91
140,6890.5,638.94,936.37,0,0,"gp1",14.19
145,6631.43,496.41,1071.94,0,0,"gp1",33.98
150,6355.45,348.52,1213.52,0,0,"gp1",62.65
155,6066.29,197.79,1358.17,0,0,"gp1",101.04
160,5765.1,69.69,1480.47,0,0,"gp1",149.94
165,5442.02,15.67,1529.8,0,0,"gp1",209.75
170,5104.03,1.24,1540.83,0,0,"gp1",277.04
175,4727.34,0.01,1540.39,0,0.21,"gp1",350.55
180,4310.47,0.01,1538.2,0,2.31,"gp1",431.94
185,3825.17,0.03,1532.54,0,9.72,"gp1",520.78
190,3268.89,0.01,1519.7,0,25.3,"gp1",618.3
195,2630.58,0,1497.26,0,50.28,"gp1",719.51
200,1884.23,0.03,1462.4,0,87.23,"gp1",820.95
205,1072.83,0.01,1417.81,0,134.91,"gp1",924.43
210,387.09,0.01,1360.34,0,196.44,"gp1",1023.43
215,85.04,0,1292.96,0,267.66,"gp1",1120.67
220,24.61,0.01,1224.17,0,340.55,"gp1",1213.65
225,15.18,0.01,1158.86,0,410.1,"gp1",1308.89
230,11.73,0.01,1095.06,0,477.91,"gp1",1411.42
235,9.48,0.02,1031.89,0,545.22,"gp1",1521.97
240,7.85,0,970.91,0,609.96,"gp1",1645.61
245,6.79,0,910.53,0,673.15,"gp1",1780.34
250,6.18,0.01,853.83,0,732.46,"gp1",1930.16
255,5.18,0,798.73,0,791.12,"gp1",2094.08
260,4.75,0,744.84,0,847.76,"gp1",2265.45
265,4.38,0,690.19,0,904.29,"gp1",2447.06
270,4.18,0.01,638.96,0,957.58,"gp1",2627.74
275,3.61,0.01,587.59,0,1010.9,"gp1",2787.35
