"time","Ribosome","coli Pol","coli Pol-P","coli Pol-2.0","coli Pol-P-2.0","tabasco_id","sim_count"
0,2500,1800,0,0,0,"gp1",0
5,2500,1800,0,0,0,"gp1",0
10,2500,1794.32,0,0,0,"gp1",0
15,2499.84,1787.47,0,0,0,"gp1",0
16,2500,1791.5,0,0,0,"gp1",0
20,2495.9,1780.87,0,0,0,"gp1",0
25,2484.34,1774.06,0,0,0,"gp1",0
30,2462.57,1767.06,0,0,0,"gp1",0
35,2427.69,1758.56,0,0,0,"gp1",0
40,2382.83,1750.29,0,0,0,"gp1",0
45,2327.78,1741.93,0,0,0,"gp1",0
50,2264.11,1733.09,0,0,0,"gp1",0
55,2190.05,1724.89,0,0,0,"gp1",0
60,2106.55,1716.44,0,0,0,"gp1",0
65,2013.59,1707.71,0.23,0,0,"gp1",0
70,1911.96,1695.01,3.27,0,0,"gp1",0
75,1795.77,1675.57,13.11,0,0,"gp1",0
80,1669.38,1648.47,30.53,0,0,"gp1",0
85,1534.57,1612.21,57.2,0,0,"gp1",0
90,1390.48,1568.59,91.54,0,0,"gp1",0
95,1232.74,1514.05,136.53,0,0,"gp1",0
100,1068.15,1450.65,190.74,0,0,"gp1",0
105,892.34,1379.66,253.07,0,0,"gp1",0
110,706.05,1300.32,323.91,0,0,"gp1",0
115,519.1,1211.35,404.11,0,0,"gp1",0
120,338.37,1113.75,493.55,0,0,"gp1",0
125,184.63,1005.06,593.08,0,0,"gp1",0.14
130,89.13,889.91,700.3,0,0,"gp1",0.93
135,41.99,765.62,816.89,0,0,"gp1",5.09
140,23.41,635.62,939.87,0,0,"gp1",15.71
145,16.61,498.91,1069.94,0,0,"gp1",35.15
150,13.24,358.37,1204.05,0,0,"gp1",65.6
155,11.12,223.37,1332.77,0,0,"gp1",105.39
160,9.74,107.57,1442.03,0,0,"gp1",155.35
165,8.33,36.48,1508.31,0,0,"gp1",216.68
170,7.41,9.86,1532.66,0,0,"gp1",284.12
175,6.63,2.94,1537.95,0,0.07,"gp1",356.38
180,5.81,0.11,1540.28,0,0.62,"gp1",434.71
185,5.03,0.03,1539.62,0,2.7,"gp1",517.88
190,4.38,0.07,1538.15,0,6.69,"gp1",597.74
195,3.9,0.06,1534.57,0,13.39,"gp1",671.13
200,3.71,0.03,1528.53,0,23.01,"gp1",734.17
205,3.31,0.07,1519.86,0,34.78,"gp1",790.59
210,2.74,0.03,1510.68,0,48.13,"gp1",842.12
215,2.31,0.04,1498.92,0,63.12,"gp1",887.21
220,1.71,0.03,1486.34,0,79.17,"gp1",922.53
225,1.78,0.02,1473.36,0,96.42,"gp1",953.22
230,1.42,0.02,1459.67,0,113.55,"gp1",978.38
235,1.29,0.04,1447.79,0,129.88,"gp1",997.25
240,1.15,0.01,1434.84,0,147.13,"gp1",1011.95
245,1.1,0,1421.35,0,164.17,"gp1",1032.13
250,0.99,0.02,1409.46,0,180.03,"gp1",1060.56
255,0.93,0,1397.23,0,195.5,"gp1",1086.68
260,0.71,0,1384.04,0,210.73,"gp1",1113.16
265,0.72,0.01,1372.75,0,225.33,"gp1",1134.34
270,0.56,0.01,1359.63,0,240.71,"gp1",1154.1
275,0.61,0,1347.82,0,254.29,"gp1",1170.4
280,0.69,0,1337.46,0,266.91,"gp1",1186.71
285,0.55,0.01,1325.21,0,280.26,"gp1",1201.29
290,0.47,0.02,1312.98,0,293.35,"gp1",1213.37
295,0.45,0.01,1301.06,0,306.06,"gp1",1219.73
300,0.46,0.01,1290.5,0,318.38,"gp1",1223.13
305,0.48,0.01,1278.93,0,330.28,"gp1",1224.79
310,0.35,0.01,1266.44,0,343,"gp1",1227.25
315,0.5,0,1254.21,0,355.21,"gp1",1231.31
320,0.46,0.01,1243.33,0,366.47,"gp1",1238.64
325,0.42,0,1231.22,0,377.78,"gp1",1246.1
330,0.28,0,1219.18,0,389.73,"gp1",1251.65
335,0.26,0,1208.19,0,400.74,"gp1",1258.83
340,0.32,0,1196.3,0,412.05,"gp1",1272.79
345,0.34,0,1183.66,0,423.34,"gp1",1285.85
350,0.31,0,1172.4,0,433.84,"gp1",1295.02
355,0.34,0,1161.18,0,444.28,"gp1",1307.98
360,0.3,0,1149.84,0,454.45,"gp1",1319.13
365,0.27,0,1138.93,0,464.45,"gp1",1326.36
370,0.28,0,1127.64,0,475.14,"gp1",1332.87
375,0.22,0,1118.03,0,485.22,"gp1",1339.88
380,0.18,0,1106.33,0,495.94,"gp1",1346.89
385,0.23,0,1095.55,0,506.06,"gp1",1355.95
390,0.18,0,1085.49,0,515.66,"gp1",1365.62
395,0.26,0,1074.67,0,526.03,"gp1",1372.72
400,0.27,0,1063.95,0,536.24,"gp1",1379.02
405,0.19,0,1053.56,0,546.46,"gp1",1383.71
410,0.27,0,1043.44,0,556.11,"gp1",1393.9
415,0.15,0,1034.27,0,565.71,"gp1",1403.76
420,0.13,0,1024.18,0,575.43,"gp1",1412.51
425,0.14,0,1014.43,0,585.07,"gp1",1416.62
430,0.19,0,1003.83,0,595.07,"gp1",1422.34
435,0.15,0,993.33,0,604.57,"gp1",1430.7
440,0.2,0,982.88,0,614.49,"gp1",1431.79
445,0.18,0,972.95,0,624.02,"gp1",1435.84
450,0.16,0,963.3,0,633.51,"gp1",1444.83
455,0.26,0,952.89,0,643.7,"gp1",1453.28
460,0.08,0,943.21,0,653.29,"gp1",1460.58
465,0.13,0,933.35,0,662.7,"gp1",1464.04
470,0.16,0,923.15,0,672.56,"gp1",1466.09
475,0.06,0,914.93,0,681.07,"gp1",1472.62
480,0.13,0,905.02,0,690.22,"gp1",1481.87
485,0.16,0,894.77,0,699.99,"gp1",1487.9
490,0.17,0,883.9,0,709.69,"gp1",1492.23
495,0.09,0,874.57,0,718.66,"gp1",1496.09
500,0.13,0,863.45,0,728.65,"gp1",1502.36
505,0.15,0,855.15,0,737.49,"gp1",1508.29
510,0.09,0,845.94,0,746.85,"gp1",1513.09
515,0.12,0,837.87,0,755.93,"gp1",1514.89
520,0.2,0,828.87,0,764.72,"gp1",1517.19
525,0.15,0,821.18,0,772.88,"gp1",1519.75
530,0.12,0,811.21,0,782.75,"gp1",1522.63
535,0.1,0,803.03,0,791.01,"gp1",1529.56
540,0.1,0,793.7,0,799.4,"gp1",1532.85
545,0.1,0,783.79,0,808.86,"gp1",1536.9
550,0.11,0,773.93,0,818.52,"gp1",1542.3
555,0.11,0,765.51,0,827.27,"gp1",1545.74
560,0.14,0,756.65,0,836.07,"gp1",1548.66
565,0.09,0,746.94,0,845.93,"gp1",1554.45
570,0.09,0,738.92,0,854.32,"gp1",1557.82
575,0.1,0,729.12,0,863.56,"gp1",1560.1
