time	phi0L	A1	A2	A3	B	C	phi1.1A	phi1.1B	phi1.3	phi1.5	phi1.6	phi2.5	phi3.8	phi4c	phi4.3	phi4.7	phi6.5	phi9	phi10	phi13	phi17	phiOR	coli Pol	coli Pol-P	coli Pol-2.0	coli Pol-P-2.0	gp1	gp1-3.5
0.0020571771163838105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
5.006543663145866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
10.007279686626047	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	
15.022020972849411	0.0	0.5	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	209.5	0.0	0.0	0.0	0.0	0.0	
20.00367118649345	0.0	0.5	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1189.5	0.0	0.0	0.0	0.0	0.0	
25.000294722532725	0.0	3.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2637.0	0.0	0.0	0.0	0.0	0.0	
30.001310178663836	0.0	4.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4498.0	0.0	0.0	0.0	0.0	0.0	
35.00037300847005	0.0	2.0	0.5	1.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5472.0	0.0	0.0	0.0	0.0	0.0	
40.000311969209214	0.0	3.5	2.5	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7920.0	0.0	0.0	0.0	0.0	0.0	
45.000891289410546	0.0	0.5	2.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9104.0	0.0	0.0	0.0	0.0	0.0	
50.00041565047151	0.0	3.0	2.5	1.5	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10878.0	0.0	0.0	0.0	0.0	0.0	
55.00014904336257	0.0	2.5	2.5	1.5	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12264.5	0.0	0.0	0.0	0.0	0.0	
60.0002607300297	0.0	3.0	2.0	3.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13883.5	0.0	0.0	0.0	0.0	0.0	
65.00006051597435	0.0	2.5	2.5	3.5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16459.0	0.0	0.0	0.0	0.0	0.0	
70.00020354705313	0.0	3.0	2.0	1.5	2.5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18103.5	0.0	0.0	0.0	0.0	0.0	
75.00043845362941	0.0	1.5	2.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20695.5	0.0	0.0	0.0	0.0	0.0	
80.00024587884303	0.0	2.0	2.0	2.5	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22368.5	0.0	0.0	0.0	0.0	0.0	
85.0000748325657	0.0	2.5	3.5	1.5	1.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24536.0	0.0	0.0	0.0	0.0	0.0	
90.00048476937795	0.0	1.5	2.0	2.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26187.5	0.0	0.0	0.0	0.0	0.0	
95.00017251057471	0.0	1.0	3.5	1.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27896.5	57.0	0.0	0.0	0.0	0.0	
100.00048056730813	0.0	2.5	1.5	3.5	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29528.0	116.0	0.0	0.0	0.0	0.0	
105.00010191440396	0.0	3.0	3.0	3.0	0.5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31604.0	252.5	0.0	0.0	0.0	0.0	
110.00003990813039	0.0	4.5	2.0	3.0	1.5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32984.5	396.0	0.0	0.0	0.0	0.0	
115.00003885771935	0.0	2.0	3.0	3.0	1.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35962.5	619.5	0.0	0.0	0.0	0.0	
120.00003103316203	0.0	0.5	3.5	1.5	2.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38002.5	903.0	0.0	0.0	0.0	0.0	
125.00007150029397	0.0	3.0	3.0	1.5	1.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39680.5	1222.0	0.0	0.0	0.0	0.0	
130.0002458520695	0.0	2.5	2.5	1.5	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40542.5	1954.5	0.0	0.0	0.0	0.0	
135.00020200331716	1.5	3.0	3.0	1.0	0.5	1.5	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41761.5	2543.5	0.0	0.0	503.5	0.0	
140.0000463116285	1.0	1.5	2.0	1.5	0.5	1.0	1.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42341.5	3156.0	0.0	0.0	1602.5	0.0	
145.00001809448577	2.5	3.5	1.0	1.0	1.0	1.5	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43028.0	3895.5	0.0	0.0	2268.0	0.0	
150.00002642806538	5.0	1.0	1.0	1.0	1.5	0.0	2.5	3.5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43112.0	4361.5	0.0	0.0	3725.5	0.0	
