target_id	length	eff_length	est_counts	tpm
NC_001604.1|T7p24|NP_041977.1|CDS|helicase	1512	1333	3.04669	0.101116
NC_001604.1|T7p25|NP_041978.1|CDS|hypothetical	339	160	3.81725	1.05549
NC_001604.1|T7p26|NP_041979.1|CDS|hypothetical	213	36.0583	4	4.90769
NC_001604.1|T7p27|NP_041980.1|CDS|hypothetical	270	91.0003	8	3.88928
NC_001604.1|T7p28|NP_041981.1|CDS|hypothetical	408	229	4	0.772764
NC_001604.1|T7p29|NP_041982.1|CDS|DNA	2115	1936	68	1.55391
NC_001604.1|T7p30|NP_041983.1|CDS|hypothetical	357	178	16	3.97669
NC_001604.1|T7p31|NP_041984.1|CDS|hypothetical	509	330	13.1747	1.76623
NC_001604.1|T7p32|NP_041985.1|CDS|host	300	121	1.16929	0.427524
NC_001604.1|T7p33|NP_041986.1|CDS|hypothetical	210	33.6633	0.656054	0.862194
NC_001604.1|T7p34|NP_041987.1|CDS|host	159	10.9088	0	0
NC_001604.1|T7p35|NP_041988.1|CDS|exonuclease	903	724	25	1.52765
NC_001604.1|T7p36|NP_041989.1|CDS|hypothetical	114	5.81021	0	0
NC_001604.1|T7p37|NP_041990.1|CDS|hypothetical	255	76.0064	17	9.89511
NC_001604.1|T7p38|NP_041991.1|CDS|hypothetical	267	88.0006	10	5.02732
NC_001604.1|T7p39|NP_041992.1|CDS|hypothetical	402	223	29	5.75328
NC_001604.1|T7p40|NP_041993.1|CDS|tail	300	121	22	8.04377
NC_001604.1|T7p41|NP_041994.1|CDS|hypothetical	393	214	46	9.50969
NC_001604.1|T7p42|NP_041995.1|CDS|head-tail	1611	1432	116	3.58374
NC_001604.1|T7p43|NP_041996.1|CDS|capsid	924	745	103	6.1165
NC_001604.1|T7p45|NP_041998.1|CDS|major	1038	859	144	7.41637
NC_001604.1|T7p46|NP_041999.1|CDS|tail	591	412	38	4.08045
NC_001604.1|T7p47|NP_042000.1|CDS|tail	2385	2206	146	2.92799
NC_001604.1|T7p48|NP_042001.1|CDS|internal	417	238	15	2.78828
