strain,time,Proteins,area_mean,area_sd,peps_per_tech_rep,org,org_area,ecoli_area,area_norm,b_rep
11-42,1min,NP_041963.1,20207363.5195312,3842902.26689206,2,phage,455510992.496745,290472027144.277,6.9567330521277e-05,3
11-42,1min,NP_041967.1,26332335.796875,24027277.2207339,3,phage,455510992.496745,290472027144.277,9.06536028813397e-05,3
11-42,1min,NP_041970.1,21312616,7643386.60552902,1,phage,455510992.496745,290472027144.277,7.33723526135412e-05,3
11-42,1min,NP_041980.1,15106608.3515625,2937783.64000649,2,phage,455510992.496745,290472027144.277,5.20071020265889e-05,3
11-42,1min,NP_041981.1,0,0,0,phage,455510992.496745,290472027144.277,0,3
11-42,1min,NP_041982.1,9962912.8125,411714.425947777,1,phage,455510992.496745,290472027144.277,3.42990439060469e-05,3
11-42,1min,NP_041984.1; NP_041985.1,18440631.375,3078806.91844993,1,phage,455510992.496745,290472027144.277,6.34850507165724e-05,3
11-42,1min,NP_041991.1,0,0,0,phage,455510992.496745,290472027144.277,0,3
11-42,1min,NP_041993.1,30013666.078125,1347451.25803515,1,phage,455510992.496745,290472027144.277,0.000103327216645262,3
11-42,1min,NP_041994.1,5890243,1254053.16932756,1,phage,455510992.496745,290472027144.277,2.02781763803863e-05,3
11-42,1min,NP_041995.1,17589943.078125,6513012.32773286,2,phage,455510992.496745,290472027144.277,6.05564096861833e-05,3
11-42,1min,NP_041996.1,22454581.3710938,4875827.84325784,2,phage,455510992.496745,290472027144.277,7.73037651571888e-05,3
11-42,1min,NP_041998.1,249295446.414062,30312476.892755,2,phage,455510992.496745,290472027144.277,0.000858242526362919,3
11-42,1min,NP_042002.1,0,0,0,phage,455510992.496745,290472027144.277,0,3
11-42,1min,NP_042003.1,7729385.36197917,1374018.68880673,3,phage,455510992.496745,290472027144.277,2.66097408344935e-05,3
11-42,1min,NP_042004.1,7518419.1875,801293.139275553,1,phage,455510992.496745,290472027144.277,2.58834534306659e-05,3
11-42,1min,NP_042005.1,3656840.15039062,4000822.59912087,2,phage,455510992.496745,290472027144.277,1.25893022689386e-05,3
11-42,1min,NP_042008.1,0,0,0,phage,455510992.496745,290472027144.277,0,3
11-42,1min,NP_042010.1,0,0,0,phage,455510992.496745,290472027144.277,0,3
11-42,1min,YP_003043231.1,0,0,1,ecoli,290472027144.277,290472027144.277,0,3
11-42,1min,YP_003043233.1,13950102.1796875,1579492.16002901,1,ecoli,290472027144.277,290472027144.277,4.80256302709607e-05,3
11-42,1min,YP_003043235.1,19942482.6380208,8180028.16682794,3,ecoli,290472027144.277,290472027144.277,6.86554324493196e-05,3
11-42,1min,YP_003043237.1,455222579.859375,89404541.8546365,2,ecoli,290472027144.277,290472027144.277,0.00156718216323552,3
11-42,1min,YP_003043238.1,14061548.2851562,3882840.17424192,2,ecoli,290472027144.277,290472027144.277,4.840930269052e-05,3
11-42,1min,YP_003043243.1,1664873070.28125,136701651.758654,3,ecoli,290472027144.277,290472027144.277,0.00573161239190275,3
11-42,1min,YP_003043244.1,82771783.9667969,19751733.8716591,2,ecoli,290472027144.277,290472027144.277,0.000284956127378435,3
11-42,1min,YP_003043257.1,1980308853.88021,2128161465.84115,3,ecoli,290472027144.277,290472027144.277,0.00681755442460073,3
11-42,1min,YP_003043259.1,11160635.7369792,4309944.80060114,3,ecoli,290472027144.277,290472027144.277,3.84224114339096e-05,3
11-42,1min,YP_003043260.1,165138061.84375,28387142.2389372,2,ecoli,290472027144.277,290472027144.277,0.000568516230176361,3
11-42,1min,YP_003043262.1,0,0,0,ecoli,290472027144.277,290472027144.277,0,3
11-42,1min,YP_003043263.1,39435976.75,9210929.75158519,2,ecoli,290472027144.277,290472027144.277,0.000135765144539761,3
11-42,1min,YP_003043264.1,24034624.421875,1061244.57343739,1,ecoli,290472027144.277,290472027144.277,8.27433355912686e-05,3
11-42,1min,YP_003043265.1,0,0,0,ecoli,290472027144.277,290472027144.277,0,3
11-42,1min,YP_003043266.1,11328245.1640625,5898211.70941881,3,ecoli,290472027144.277,290472027144.277,3.89994357647244e-05,3
11-42,1min,YP_003043267.1,11767989.0625,2046578.3612931,1,ecoli,290472027144.277,290472027144.277,4.05133299002828e-05,3
11-42,1min,YP_003043271.1,0,0,0,ecoli,290472027144.277,290472027144.277,0,3
11-42,1min,YP_003043276.1,0,0,0,ecoli,290472027144.277,290472027144.277,0,3
11-42,1min,YP_003043280.1,36366539.234375,27422442.3651927,1,ecoli,290472027144.277,290472027144.277,0.000125198077046888,3
11-42,1min,YP_003043281.1,28205296,3082788.54834644,1,ecoli,290472027144.277,290472027144.277,9.71015910801989e-05,3
11-42,1min,YP_003043282.1,7662832.29296875,767304.753633965,1,ecoli,290472027144.277,290472027144.277,2.63806204277379e-05,3
11-42,1min,YP_003043284.1,47588444.8294271,42374914.8440143,3,ecoli,290472027144.277,290472027144.277,0.000163831420523636,3
11-42,1min,YP_003043285.1,13905672.8125,740062.906937309,1,ecoli,290472027144.277,290472027144.277,4.78726745195092e-05,3
11-42,1min,YP_003043286.1,132250430.849609,29326590.3062444,2,ecoli,290472027144.277,290472027144.277,0.000455294894141118,3
11-42,1min,YP_003043287.1,76372172.9322917,21225829.4072386,3,ecoli,290472027144.277,290472027144.277,0.000262924363778264,3
11-42,1min,YP_003043288.1,1555630.3125,2199993.4859762,1,ecoli,290472027144.277,290472027144.277,5.35552537638098e-06,3
11-42,1min,YP_003043289.1,0,0,0,ecoli,290472027144.277,290472027144.277,0,3
11-42,1min,YP_003043290.1,189899392.109375,22251113.2798726,2,ecoli,290472027144.277,290472027144.277,0.000653761375841717,3
11-42,1min,YP_003043292.1,0,0,0,ecoli,290472027144.277,290472027144.277,0,3
11-42,1min,YP_003043299.1,11830331.0234375,4563996.63785097,2,ecoli,290472027144.277,290472027144.277,4.07279528419492e-05,3
11-42,1min,YP_003043303.1,0,0,0,ecoli,290472027144.277,290472027144.277,0,3
11-42,1min,YP_003043309.1,0,0,0,ecoli,290472027144.277,290472027144.277,0,3
11-42,1min,YP_003043310.1,7626763.3046875,1825423.61165285,2,ecoli,290472027144.277,290472027144.277,2.62564467211134e-05,3
11-42,1min,YP_003043312.1,24011927.1614583,5813654.91761023,3,ecoli,290472027144.277,290472027144.277,8.2665196361685e-05,3
11-42,1min,YP_003043313.1,9674244.734375,967527.999416131,1,ecoli,290472027144.277,290472027144.277,3.33052543113552e-05,3
11-42,1min,YP_003043314.1,46562480.78125,47935600.9791157,3,ecoli,290472027144.277,290472027144.277,0.000160299362520448,3
11-42,1min,YP_003043315.1,42395001.3098958,16324585.5166724,3,ecoli,290472027144.277,290472027144.277,0.000145952096409057,3
