strain,time,Proteins,area_mean,area_sd,peps_per_tech_rep,org,org_area,ecoli_area,area_norm,b_rep
11-42,1min,NP_041959.1,0,0,0,phage,176838728.497843,96177295402.0338,0,2
11-42,1min,NP_041960.1,0,0,1,phage,176838728.497843,96177295402.0338,0,2
11-42,1min,NP_041963.1,7428552.09375,1969830.62281716,2,phage,176838728.497843,96177295402.0338,7.72381055497315e-05,2
11-42,1min,NP_041966.1,4234488.21618652,5021855.26952258,3,phage,176838728.497843,96177295402.0338,4.40279402585174e-05,2
11-42,1min,NP_041967.1,12494600.9882812,974819.679019455,1,phage,176838728.497843,96177295402.0338,0.00012991216831428,2
11-42,1min,NP_041970.1,7876672.58203125,1216168.72475853,1,phage,176838728.497843,96177295402.0338,8.18974223501058e-05,2
11-42,1min,NP_041975.1,0,0,0,phage,176838728.497843,96177295402.0338,0,2
11-42,1min,NP_041979.1,0,0,0,phage,176838728.497843,96177295402.0338,0,2
11-42,1min,NP_041981.1,9144963.1171875,2643945.38068167,3,phage,176838728.497843,96177295402.0338,9.50844279719069e-05,2
11-42,1min,NP_041982.1,2898711.3125,421706.905426115,1,phage,176838728.497843,96177295402.0338,3.01392475259676e-05,2
11-42,1min,NP_041984.1; NP_041985.1,993849.141031901,1113568.05606043,3,phage,176838728.497843,96177295402.0338,1.03335110108626e-05,2
11-42,1min,NP_041984.1; NP_041986.1,4393625.5078125,1548025.20115943,1,phage,176838728.497843,96177295402.0338,4.56825645745866e-05,2
11-42,1min,NP_041988.1,0,0,0,phage,176838728.497843,96177295402.0338,0,2
11-42,1min,NP_041994.1,0,0,0,phage,176838728.497843,96177295402.0338,0,2
11-42,1min,NP_041995.1,6488588.89453125,2190299.98767084,2,phage,176838728.497843,96177295402.0338,6.74648716977129e-05,2
11-42,1min,NP_041996.1,4056277.39648438,955532.079534438,2,phage,176838728.497843,96177295402.0338,4.21749996142915e-05,2
11-42,1min,NP_041998.1,103813017.423177,39009281.5452686,3,phage,176838728.497843,96177295402.0338,0.00107939214748372,2
11-42,1min,NP_042000.1,0,0,0,phage,176838728.497843,96177295402.0338,0,2
11-42,1min,NP_042004.1,2823070.84375,151273.165660365,1,phage,176838728.497843,96177295402.0338,2.93527784488968e-05,2
11-42,1min,NP_042005.1,4956996.39518229,703369.535903903,3,phage,176838728.497843,96177295402.0338,5.15401932905411e-05,2
11-42,1min,NP_042006.1; NP_042006.1_X,5235314.5859375,268106.662397409,1,phage,176838728.497843,96177295402.0338,5.44339967562322e-05,2
11-42,1min,NP_042010.1,0,0,0,phage,176838728.497843,96177295402.0338,0,2
11-42,1min,NP_042013.1,0,0,0,phage,176838728.497843,96177295402.0338,0,2
11-42,1min,YP_003043231.1,3166648.703125,245186.646823093,1,ecoli,96177295402.0339,96177295402.0339,3.29251169924044e-05,2
11-42,1min,YP_003043233.1,5089909.11328125,971940.273915202,1,ecoli,96177295402.0339,96177295402.0339,5.29221485383297e-05,2
11-42,1min,YP_003043235.1,7142444.11328125,828072.803302356,1,ecoli,96177295402.0339,96177295402.0339,7.42633080232178e-05,2
11-42,1min,YP_003043237.1,163595889.815104,29581167.3658356,3,ecoli,96177295402.0339,96177295402.0339,0.00170098243178134,2
11-42,1min,YP_003043238.1,8231171.71614583,7114466.87265621,3,ecoli,96177295402.0339,96177295402.0339,8.55833144583495e-05,2
11-42,1min,YP_003043243.1,445924357.578776,68860591.4572308,3,ecoli,96177295402.0339,96177295402.0339,0.00463648260969237,2
11-42,1min,YP_003043244.1,41566326.3632812,22172191.2380446,3,ecoli,96177295402.0339,96177295402.0339,0.000432184396426709,2
11-42,1min,YP_003043245.1,0,0,0,ecoli,96177295402.0339,96177295402.0339,0,2
11-42,1min,YP_003043257.1,224194162.591146,291000974.674146,3,ecoli,96177295402.0339,96177295402.0339,0.0023310508125019,2
11-42,1min,YP_003043259.1,7396906.32421875,854853.547688155,2,ecoli,96177295402.0339,96177295402.0339,7.69090697892751e-05,2
11-42,1min,YP_003043260.1,57317257.8164062,8544818.05256842,2,ecoli,96177295402.0339,96177295402.0339,0.000595954144653502,2
11-42,1min,YP_003043262.1,15196407.28125,5227955.37661584,2,ecoli,96177295402.0339,96177295402.0339,0.00015800410291979,2
11-42,1min,YP_003043263.1,14851661.0976562,6884788.21177736,3,ecoli,96177295402.0339,96177295402.0339,0.000154419616766871,2
11-42,1min,YP_003043264.1,18031396.9882812,1844086.07614136,1,ecoli,96177295402.0339,96177295402.0339,0.000187480807324719,2
11-42,1min,YP_003043265.1,2141770.0625,306300.361222049,1,ecoli,96177295402.0339,96177295402.0339,2.22689778657958e-05,2
11-42,1min,YP_003043266.1,5501827.78320312,2529730.18047482,2,ecoli,96177295402.0339,96177295402.0339,5.72050582229907e-05,2
11-42,1min,YP_003043267.1,7324409.26367188,558161.513719453,2,ecoli,96177295402.0339,96177295402.0339,7.61552841869266e-05,2
11-42,1min,YP_003043269.1,0,0,0,ecoli,96177295402.0339,96177295402.0339,0,2
11-42,1min,YP_003043281.1,13174068.2929688,7158508.01874096,2,ecoli,96177295402.0339,96177295402.0339,0.00013697690539019,2
11-42,1min,YP_003043282.1,1683093.56738281,995575.178588502,1,ecoli,96177295402.0339,96177295402.0339,1.7499905360691e-05,2
11-42,1min,YP_003043284.1,28278054.7832031,25145355.435847,3,ecoli,96177295402.0339,96177295402.0339,0.00029402006643041,2
11-42,1min,YP_003043285.1,5703069.95898438,506474.079146037,1,ecoli,96177295402.0339,96177295402.0339,5.9297466570928e-05,2
11-42,1min,YP_003043286.1,50082814.1494141,11543528.9885998,2,ecoli,96177295402.0339,96177295402.0339,0.000520734274550571,2
