strain,time,Proteins,area_mean,area_sd,peps_per_tech_rep,org,org_area,ecoli_area,area_norm,b_rep
11-42,1min,NP_041959.1,0,0,0,phage,348703989.010417,441650836148.624,0,4
11-42,1min,NP_041963.1,15722293.7578125,2509979.30392477,2,phage,348703989.010417,441650836148.624,3.55989222049647e-05,4
11-42,1min,NP_041967.1,12203530.2877604,6555430.11701357,3,phage,348703989.010417,441650836148.624,2.76316250053553e-05,4
11-42,1min,NP_041969.1,0,0,0,phage,348703989.010417,441650836148.624,0,4
11-42,1min,NP_041970.1,61411958.875,989007.185486888,1,phage,348703989.010417,441650836148.624,0.000139050928580907,4
11-42,1min,NP_041973.1,0,0,0,phage,348703989.010417,441650836148.624,0,4
11-42,1min,NP_041974.1,0,0,0,phage,348703989.010417,441650836148.624,0,4
11-42,1min,NP_041981.1,16439101.625,1744875.60836232,1,phage,348703989.010417,441650836148.624,3.72219415870593e-05,4
11-42,1min,NP_041984.1; NP_041985.1,2306329.125,3261641.92787107,1,phage,348703989.010417,441650836148.624,5.22206443694782e-06,4
11-42,1min,NP_041988.1,8017350.546875,2012901.40647018,1,phage,348703989.010417,441650836148.624,1.81531424615644e-05,4
11-42,1min,NP_041993.1,33189730.75,3485492.66613495,1,phage,348703989.010417,441650836148.624,7.51492537395107e-05,4
11-42,1min,NP_041995.1,19424158.1796875,4262917.71098223,2,phage,348703989.010417,441650836148.624,4.39808024571494e-05,4
11-42,1min,NP_041996.1,31341108.1757812,687334.56745839,1,phage,348703989.010417,441650836148.624,7.09635431670152e-05,4
11-42,1min,NP_041998.1,136402039.5,11833117.3206392,1,phage,348703989.010417,441650836148.624,0.000308845876279736,4
11-42,1min,NP_042005.1,12246388.1875,2200770.24277533,1,phage,348703989.010417,441650836148.624,2.77286652376649e-05,4
11-42,1min,NP_042008.1,0,0,0,phage,348703989.010417,441650836148.624,0,4
11-42,1min,YP_003043231.1,16730960.3359375,6780397.80923383,3,ecoli,441650836148.624,441650836148.624,3.78827774488968e-05,4
11-42,1min,YP_003043233.1,28665420.6132812,18512303.6143475,2,ecoli,441650836148.624,441650836148.624,6.49051654996409e-05,4
11-42,1min,YP_003043235.1,39102763.1197917,18603092.0954921,3,ecoli,441650836148.624,441650836148.624,8.85377314368603e-05,4
11-42,1min,YP_003043237.1,1058637306.04948,322523731.003597,3,ecoli,441650836148.624,441650836148.624,0.00239700057013642,4
11-42,1min,YP_003043238.1,42135043.2395833,13340916.3965141,3,ecoli,441650836148.624,441650836148.624,9.54035174189143e-05,4
11-42,1min,YP_003043239.1,0,0,0,ecoli,441650836148.624,441650836148.624,0,4
11-42,1min,YP_003043243.1,2686465338.375,386517455.579774,2,ecoli,441650836148.624,441650836148.624,0.00608278105347219,4
11-42,1min,YP_003043244.1,185121465.907552,81687472.4161658,3,ecoli,441650836148.624,441650836148.624,0.00041915796542329,4
11-42,1min,YP_003043245.1,0,0,0,ecoli,441650836148.624,441650836148.624,0,4
11-42,1min,YP_003043248.1,1753341.8125,2479599.77071332,1,ecoli,441650836148.624,441650836148.624,3.96997281334245e-06,4
11-42,1min,YP_003043257.1,1923391165.53125,2002038291.96005,3,ecoli,441650836148.624,441650836148.624,0.00435500401698321,4
11-42,1min,YP_003043259.1,33931595.6914062,10592075.9747798,2,ecoli,441650836148.624,441650836148.624,7.68290081533721e-05,4
11-42,1min,YP_003043260.1,418615258.994792,160542887.56203,3,ecoli,441650836148.624,441650836148.624,0.000947842106776674,4
11-42,1min,YP_003043262.1,44155903.40625,40154501.8452279,3,ecoli,441650836148.624,441650836148.624,9.99792138769792e-05,4
11-42,1min,YP_003043263.1,73501366.3046875,55888967.2238901,2,ecoli,441650836148.624,441650836148.624,0.000166424152947721,4
11-42,1min,YP_003043264.1,57657662.4375,5121827.56036183,1,ecoli,441650836148.624,441650836148.624,0.0001305503300759,4
11-42,1min,YP_003043265.1,36195799.5976562,10759507.2620688,2,ecoli,441650836148.624,441650836148.624,8.19556913178257e-05,4
11-42,1min,YP_003043266.1,24263967.9101562,5834466.05986593,2,ecoli,441650836148.624,441650836148.624,5.49392550045823e-05,4
11-42,1min,YP_003043267.1,21880037.7135417,3609634.63843915,3,ecoli,441650836148.624,441650836148.624,4.95414837303254e-05,4
11-42,1min,YP_003043281.1,27630877.3203125,9102931.73171605,2,ecoli,441650836148.624,441650836148.624,6.25627193673288e-05,4
11-42,1min,YP_003043284.1,97543559.9726562,59483796.4489311,2,ecoli,441650836148.624,441650836148.624,0.000220861259594289,4
11-42,1min,YP_003043286.1,261864403.445312,69668050.2961097,2,ecoli,441650836148.624,441650836148.624,0.000592921788009907,4
11-42,1min,YP_003043287.1,118880550.567708,33846574.6814637,3,ecoli,441650836148.624,441650836148.624,0.000269173158607364,4
11-42,1min,YP_003043288.1,12145292.453125,4450906.25502316,2,ecoli,441650836148.624,441650836148.624,2.74997610307656e-05,4
11-42,1min,YP_003043289.1,19384430.25,433249.274580466,1,ecoli,441650836148.624,441650836148.624,4.38908492035024e-05,4
11-42,1min,YP_003043290.1,302983470.625,129720496.613067,2,ecoli,441650836148.624,441650836148.624,0.000686024899821632,4
11-42,1min,YP_003043291.1,0,0,0,ecoli,441650836148.624,441650836148.624,0,4
11-42,1min,YP_003043293.1,0,0,0,ecoli,441650836148.624,441650836148.624,0,4
11-42,1min,YP_003043297.1,0,0,0,ecoli,441650836148.624,441650836148.624,0,4
11-42,1min,YP_003043299.1,22971686.875,5682611.85143397,1,ecoli,441650836148.624,441650836148.624,5.20132308031442e-05,4
11-42,1min,YP_003043303.1,0,0,0,ecoli,441650836148.624,441650836148.624,0,4
