time	phi0L	A1	A2	A3	B	C	phi1.1A	phi1.1B	phi1.3	phi1.5	phi1.6	phi2.5	phi3.8	phi4c	phi4.3	phi4.7	phi6.5	phi9	phi13	phi17	phiOR	coli Pol	coli Pol-P	coli Pol-2.0	coli Pol-P-2.0	gp1	gp1-3.5
0.004591385405749105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.001766709507585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.00921536038895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15.00238513072801	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	376	0	0	0	0	0
20.000594333084404	0	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1457	0	0	0	0	0
25.000511541108953	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3511	0	0	0	0	0
30.000630505485404	0	1	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4850	0	0	0	0	0
35.001274811099506	0	4	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7252	0	0	0	0	0
40.00006336740796	0	4	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9054	0	0	0	0	0
45.00054423089066	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10141	0	0	0	0	0
50.00006096148063	0	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12098	0	0	0	0	0
55.000304000270546	0	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13810	0	0	0	0	0
60.0000364542392	0	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14939	0	0	0	0	0
65.00006152776743	0	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16991	0	0	0	0	0
70.00017624716351	0	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19329	0	0	0	0	0
75.00010423821163	0	2	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20985	0	0	0	0	0
80.0006144703365	0	3	1	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23237	0	0	0	0	0
85.00015883213476	0	4	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25334	0	0	0	0	0
90.00006441651396	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26583	0	0	0	0	0
