time	phi0L	A1	A2	A3	B	C	phi1.1A	phi1.1B	phi1.3	phi1.5	phi1.6	phi2.5	phi3.8	phi4c	phi4.3	phi4.7	phi6.5	phi9	phi13	phi17	phiOR	coli Pol	coli Pol-P	coli Pol-2.0	coli Pol-P-2.0	gp1	gp1-3.5
0.0013986952189862204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.001727090628273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.003086315180802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15.005709695096686	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0
20.001909887928782	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	457	0	0	0	0	0
25.00183246076835	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1297	0	0	0	0	0
30.002183228982236	0	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2363	0	0	0	0	0
35.001576152031404	0	3	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4224	0	0	0	0	0
40.000622006836174	0	2	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6818	0	0	0	0	0
45.000482982175164	0	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7444	0	0	0	0	0
50.00004505980992	0	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9688	0	0	0	0	0
55.0007280768405	0	2	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10029	0	0	0	0	0
60.00006182628425	0	1	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12230	0	0	0	0	0
65.00022353210383	0	2	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15106	0	0	0	0	0
70.00007106080244	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16510	0	0	0	0	0
75.0000406256184	0	5	2	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19421	0	0	0	0	0
80.00049580566319	0	3	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20960	0	0	0	0	0
85.00009821481949	0	5	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23987	0	0	0	0	0
90.00003600529955	0	4	1	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25847	0	0	0	0	0
95.00020733543647	0	2	2	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28826	0	0	0	0	0
100.00000995795973	0	3	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31581	0	0	0	0	0
105.00025743667011	0	6	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33548	0	0	0	0	0
110.0000436315362	0	3	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34716	0	0	0	0	0
115.00008304852952	0	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36859	14	0	0	0	0
120.00014115780245	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37950	224	0	0	0	0
125.00017324571773	0	5	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38907	874	0	0	0	0
130.00014451601288	0	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40108	908	0	0	0	0
135.0001078817998	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40370	1698	0	0	0	0
140.00013573994977	3	2	1	3	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	41158	2059	0	0	998	0
145.0000234540067	2	3	3	3	4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	43714	2744	0	0	1869	0
