time	phi0L	A1	A2	A3	B	C	phi1.1A	phi1.1B	phi1.3	phi1.5	phi1.6	phi2.5	phi3.8	phi4c	phi4.3	phi4.7	phi6.5	phi9	phi13	phi17	phiOR	coli Pol	coli Pol-P	coli Pol-2.0	coli Pol-P-2.0	gp1	gp1-3.5
0.0015288950640140223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.0059061242822755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.00230516449643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15.002010266818292	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	658	0	0	0	0	0
20.00103028720172	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1574	0	0	0	0	0
25.00057904212222	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2262	0	0	0	0	0
30.000165323265247	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4271	0	0	0	0	0
35.00022345259059	0	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5415	0	0	0	0	0
40.00121758418982	0	2	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7678	0	0	0	0	0
45.00004777221413	0	2	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9516	0	0	0	0	0
50.00081315380286	0	2	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11022	0	0	0	0	0
55.00071035381391	0	3	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12860	0	0	0	0	0
60.00021257949747	0	5	1	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15028	0	0	0	0	0
65.00010180317658	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16811	0	0	0	0	0
70.00004985914389	0	1	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17939	0	0	0	0	0
75.00018110905062	0	2	4	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20497	0	0	0	0	0
80.00002265841698	0	5	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22878	0	0	0	0	0
85.00010516277264	0	2	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24888	0	0	0	0	0
90.0000779097362	0	0	2	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27032	0	0	0	0	0
95.00000627306677	0	3	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29462	0	0	0	0	0
100.00013969041215	0	1	4	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31262	129	0	0	0	0
105.00011558035074	0	5	1	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33690	234	0	0	0	0
110.00043578394218	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35706	210	0	0	0	0
115.00003733968666	0	0	6	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37704	224	0	0	0	0
120.00004446339094	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39117	218	0	0	0	0
125.00020573992524	0	5	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40419	404	0	0	0	0
130.00002606290914	2	1	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40895	648	0	0	425	0
135.00013626357583	1	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41863	1284	0	0	375	0
140.0000591919148	2	0	2	2	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	43048	1612	0	0	1237	0
145.00004363458686	4	2	2	1	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	43232	2333	0	0	1959	0
150.0000084833325	6	2	0	2	4	2	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	43605	3391	0	0	4767	0
155.00002920249918	4	1	3	3	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	44767	4721	0	0	6151	0
160.00002345981744	4	2	1	3	1	1	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	44908	6043	0	0	9028	0
165.00013547046402	2	0	2	3	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	44759	7172	0	0	11494	0
170.00007131221594	4	1	1	0	0	0	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	43722	7624	0	0	13971	0
175.00000995984533	3	1	3	1	1	2	0	1	1	1	2	3	0	0	0	0	0	0	0	0	0	42546	8754	0	0	20417	0
180.00000019099153	1	1	0	3	0	0	5	4	0	3	2	4	1	0	0	0	0	0	0	0	0	42300	9637	0	0	30002	0
185.0000141813833	2	4	1	0	1	1	1	1	4	4	3	2	0	0	0	0	0	0	0	0	0	43768	10220	0	0	48549	0
190.00000191181786	5	0	0	0	1	2	3	3	0	4	6	5	3	2	1	0	0	0	0	0	0	40787	11801	0	0	60116	0
