1.012667	rnapol	1	2	0.500000
1.999269	rnapol	3	3	1.000000
2.999777	rnapol	8	6	1.333333
3.999975	rnapol	14	6	2.333333
4.999383	rnapol	21	7	3.000000
5.999675	rnapol	29	7	4.142857
6.999230	proteinX	2	2	1.000000
6.999230	rnapol	36	9	4.000000
7.999289	proteinX	4	4	1.000000
7.999289	rnapol	43	9	4.777778
9.000239	proteinX	5	5	1.000000
9.000239	rnapol	45	9	5.000000
9.999641	proteinX	7	7	1.000000
9.999641	proteinY	4	5	0.800000
9.999641	rnapol	48	10	4.800000
11.000327	proteinX	5	7	0.714286
11.000327	proteinY	8	7	1.142857
11.000327	rnapol	51	12	4.250000
11.999149	proteinX	6	8	0.750000
11.999149	proteinY	14	7	2.000000
11.999149	rnapol	48	13	3.692308
12.999090	proteinX	5	9	0.555556
12.999090	proteinY	17	8	2.125000
12.999090	rnapol	48	15	3.200000
13.999335	proteinX	5	9	0.555556
13.999335	proteinY	20	9	2.222222
13.999335	rnapol	52	16	3.250000
14.999033	proteinX	8	10	0.800000
14.999033	proteinY	20	9	2.222222
14.999033	rnapol	55	19	2.894737
15.999655	proteinX	7	12	0.583333
15.999655	proteinY	25	9	2.777778
15.999655	rnapol	55	22	2.500000
16.999120	proteinX	6	12	0.500000
16.999120	proteinY	27	10	2.700000
16.999120	rnapol	54	24	2.250000
17.999240	proteinX	7	15	0.466667
17.999240	proteinY	31	12	2.583333
17.999240	rnapol	47	26	1.807692
18.999439	proteinX	11	15	0.733333
18.999439	proteinY	33	13	2.538462
18.999439	rnapol	43	29	1.482759
19.999593	proteinX	9	17	0.529412
19.999593	proteinY	36	15	2.400000
19.999593	rnapol	41	32	1.281250
20.999360	proteinX	4	18	0.222222
20.999360	proteinY	37	16	2.312500
20.999360	rnapol	37	34	1.088235
21.999253	proteinX	13	21	0.619048
21.999253	proteinY	35	18	1.944444
21.999253	rnapol	41	36	1.138889
22.999242	proteinX	11	23	0.478261
22.999242	proteinY	33	20	1.650000
22.999242	rnapol	42	38	1.105263
23.999264	proteinX	4	25	0.160000
23.999264	proteinY	36	21	1.714286
23.999264	rnapol	50	41	1.219512
24.999582	proteinX	6	28	0.214286
24.999582	proteinY	37	24	1.541667
24.999582	rnapol	48	43	1.116279
25.999638	proteinX	6	30	0.200000
25.999638	proteinY	35	26	1.346154
25.999638	rnapol	50	45	1.111111
26.999190	proteinX	6	32	0.187500
26.999190	proteinY	36	29	1.241379
26.999190	rnapol	52	48	1.083333
27.999066	proteinX	7	35	0.200000
27.999066	proteinY	35	31	1.129032
27.999066	rnapol	50	50	1.000000
28.999344	proteinX	12	37	0.324324
28.999344	proteinY	37	33	1.121212
28.999344	rnapol	43	52	0.826923
29.999026	proteinX	7	39	0.179487
29.999026	proteinY	36	35	1.028571
29.999026	rnapol	46	54	0.851852
30.999416	proteinX	9	42	0.214286
30.999416	proteinY	37	38	0.973684
30.999416	rnapol	45	56	0.803571
31.999365	proteinX	10	44	0.227273
31.999365	proteinY	38	40	0.950000
31.999365	rnapol	46	59	0.779661
32.999008	proteinX	6	47	0.127660
32.999008	proteinY	40	43	0.930233
32.999008	rnapol	50	62	0.806452
33.999189	proteinX	11	48	0.229167
33.999189	proteinY	44	46	0.956522
33.999189	rnapol	43	64	0.671875
34.999372	proteinX	4	51	0.078431
34.999372	proteinY	47	47	1.000000
34.999372	rnapol	46	66	0.696970
35.999025	proteinX	8	53	0.150943
35.999025	proteinY	48	50	0.960000
35.999025	rnapol	41	69	0.594203
36.999079	proteinX	7	55	0.127273
36.999079	proteinY	48	52	0.923077
36.999079	rnapol	37	71	0.521127
37.999381	proteinX	8	57	0.140351
37.999381	proteinY	47	54	0.870370
37.999381	rnapol	38	74	0.513514
38.999056	proteinX	5	59	0.084746
38.999056	proteinY	49	56	0.875000
38.999056	rnapol	39	76	0.513158
39.999889	proteinX	8	61	0.131148
39.999889	proteinY	50	58	0.862069
39.999889	rnapol	38	78	0.487179
40.999093	proteinX	9	62	0.145161
40.999093	proteinY	50	60	0.833333
40.999093	rnapol	37	80	0.462500
41.999303	proteinX	8	64	0.125000
41.999303	proteinY	54	62	0.870968
41.999303	rnapol	37	82	0.451220
42.999190	proteinX	7	67	0.104478
42.999190	proteinY	53	64	0.828125
42.999190	rnapol	35	85	0.411765
43.999375	proteinX	6	69	0.086957
43.999375	proteinY	52	66	0.787879
43.999375	rnapol	37	87	0.425287
